Nash,0.423,0.421,0.466,0.451,0.43,0.453,0.475,0.441,0.486,0.499,0.49,0.496,0.491,0.51,0.485,0.512,0.554,0.500,0.505,0.528,0.503,0.491,0.521,0.477,0.521,0.519,0.535,0.486,0.505,0.525,0.509,0.528,0.521,0.539,0.511,0.543,0.526,0.537,0.585
Poison,0.393,0.445,0.417,0.399,0.434,0.444,0.451,0.446,0.462,0.455,0.49,0.491,0.44,0.514,0.511,0.441,0.568,0.495,0.500,0.51,0.52,0.51,0.474,0.501,0.529,0.525,0.556,0.531,0.542,0.508,0.501,0.518,0.539,0.549,0.511,0.53,0.483,0.531,0.543
Sagat,0.452,0.407,0.451,0.447,0.414,0.383,0.434,0.444,0.506,0.48,0.434,0.497,0.449,0.457,0.474,0.475,0.559,0.472,0.49,0.500,0.492,0.485,0.522,0.517,0.522,0.534,0.52,0.504,0.521,0.537,0.53,0.543,0.521,0.543,0.543,0.554,0.533,0.539,0.519
Zeku,0.425,0.439,0.451,0.474,0.459,0.521,0.493,0.456,0.489,0.461,0.499,0.476,0.496,0.485,0.488,0.491,0.509,0.497,0.48,0.508,0.500,0.495,0.496,0.493,0.487,0.511,0.517,0.506,0.494,0.503,0.529,0.514,0.539,0.536,0.547,0.51,0.537,0.543,0.552
Karin,0.399,0.459,0.443,0.432,0.459,0.466,0.433,0.464,0.471,0.46,0.505,0.484,0.476,0.464,0.499,0.48,0.476,0.509,0.49,0.515,0.505,0.500,0.496,0.508,0.501,0.523,0.518,0.489,0.517,0.526,0.512,0.505,0.53,0.534,0.518,0.533,0.545,0.542,0.533
G,0.418,0.438,0.413,0.446,0.451,0.477,0.462,0.448,0.486,0.457,0.469,0.468,0.456,0.505,0.5,0.459,0.529,0.48,0.526,0.478,0.504,0.504,0.500,0.488,0.503,0.515,0.517,0.516,0.54,0.53,0.479,0.518,0.532,0.524,0.551,0.513,0.512,0.535,0.554
Laura,0.452,0.487,0.454,0.487,0.509,0.501,0.485,0.499,0.452,0.485,0.489,0.501,0.508,0.453,0.497,0.484,0.432,0.523,0.5,0.483,0.507,0.492,0.512,0.500,0.507,0.48,0.473,0.507,0.535,0.51,0.526,0.498,0.495,0.489,0.511,0.539,0.542,0.515,0.571
ChunLi,0.423,0.469,0.441,0.441,0.471,0.415,0.455,0.476,0.473,0.471,0.495,0.481,0.472,0.469,0.453,0.498,0.467,0.48,0.471,0.478,0.513,0.499,0.497,0.493,0.500,0.504,0.512,0.501,0.53,0.495,0.501,0.504,0.511,0.526,0.522,0.534,0.517,0.517,0.492
Ken,0.453,0.466,0.449,0.462,0.468,0.447,0.47,0.461,0.483,0.497,0.458,0.468,0.496,0.47,0.486,0.522,0.494,0.481,0.475,0.466,0.489,0.477,0.485,0.52,0.496,0.500,0.487,0.503,0.509,0.517,0.533,0.506,0.512,0.518,0.511,0.491,0.546,0.513,0.536
Ryu,0.45,0.444,0.451,0.446,0.448,0.425,0.449,0.45,0.5,0.464,0.452,0.492,0.471,0.46,0.473,0.499,0.482,0.465,0.444,0.48,0.483,0.482,0.483,0.527,0.488,0.513,0.500,0.494,0.509,0.504,0.521,0.51,0.512,0.522,0.509,0.509,0.529,0.528,0.503
Ibuki,0.448,0.437,0.425,0.437,0.446,0.471,0.437,0.431,0.452,0.477,0.5,0.458,0.472,0.473,0.485,0.464,0.465,0.514,0.469,0.496,0.494,0.511,0.484,0.493,0.499,0.497,0.506,0.500,0.522,0.492,0.503,0.507,0.502,0.52,0.516,0.509,0.508,0.522,0.541
Kolin,0.4,0.473,0.425,0.443,0.471,0.501,0.464,0.443,0.428,0.429,0.468,0.483,0.489,0.493,0.486,0.458,0.459,0.496,0.458,0.479,0.506,0.483,0.46,0.465,0.47,0.491,0.491,0.478,0.500,0.493,0.523,0.519,0.518,0.516,0.522,0.532,0.533,0.53,0.537
Juri,0.391,0.42,0.429,0.424,0.425,0.476,0.477,0.446,0.454,0.446,0.479,0.456,0.45,0.509,0.504,0.466,0.458,0.476,0.492,0.463,0.497,0.474,0.47,0.49,0.505,0.483,0.496,0.508,0.507,0.500,0.495,0.507,0.501,0.521,0.514,0.513,0.528,0.519,0.54
R.Mika,0.429,0.449,0.444,0.441,0.478,0.491,0.456,0.486,0.438,0.467,0.474,0.429,0.467,0.447,0.489,0.452,0.434,0.491,0.499,0.47,0.472,0.488,0.521,0.474,0.5,0.467,0.479,0.497,0.477,0.505,0.500,0.501,0.517,0.519,0.498,0.476,0.514,0.501,0.541
Lucia,0.386,0.395,0.43,0.42,0.427,0.459,0.432,0.457,0.437,0.455,0.462,0.449,0.463,0.453,0.488,0.485,0.471,0.472,0.482,0.457,0.486,0.496,0.482,0.502,0.496,0.494,0.49,0.493,0.481,0.493,0.499,0.500,0.519,0.512,0.516,0.475,0.546,0.503,0.522
Akuma,0.442,0.435,0.441,0.406,0.43,0.409,0.443,0.449,0.458,0.463,0.45,0.464,0.459,0.456,0.467,0.474,0.438,0.479,0.461,0.479,0.461,0.47,0.468,0.505,0.489,0.488,0.488,0.498,0.482,0.499,0.483,0.481,0.500,0.505,0.479,0.491,0.507,0.503,0.504
Sakura,0.43,0.43,0.416,0.422,0.418,0.413,0.435,0.429,0.447,0.46,0.438,0.464,0.492,0.475,0.473,0.523,0.482,0.461,0.451,0.457,0.464,0.466,0.476,0.511,0.474,0.482,0.478,0.48,0.484,0.479,0.481,0.488,0.495,0.500,0.5,0.497,0.529,0.499,0.523
Cammy,0.374,0.431,0.433,0.416,0.432,0.478,0.477,0.426,0.423,0.447,0.457,0.432,0.445,0.453,0.471,0.422,0.45,0.489,0.489,0.457,0.453,0.482,0.449,0.489,0.478,0.489,0.491,0.484,0.478,0.486,0.502,0.484,0.521,0.5,0.500,0.472,0.529,0.503,0.508
Gill,0.4,0.401,0.413,0.423,0.405,0.415,0.391,0.415,0.448,0.444,0.429,0.438,0.441,0.444,0.446,0.458,0.486,0.457,0.47,0.446,0.49,0.467,0.487,0.461,0.466,0.509,0.491,0.491,0.468,0.488,0.524,0.525,0.509,0.503,0.528,0.500,0.501,0.528,0.476
Rashid,0.384,0.419,0.438,0.438,0.456,0.517,0.478,0.428,0.417,0.471,0.438,0.446,0.488,0.472,0.456,0.491,0.472,0.474,0.517,0.467,0.463,0.455,0.488,0.458,0.483,0.454,0.471,0.492,0.467,0.472,0.486,0.454,0.493,0.471,0.471,0.499,0.500,0.479,0.566
Kage,0.409,0.409,0.42,0.409,0.414,0.447,0.466,0.433,0.441,0.419,0.446,0.443,0.446,0.437,0.47,0.458,0.436,0.463,0.469,0.461,0.457,0.458,0.465,0.485,0.483,0.487,0.472,0.478,0.47,0.481,0.499,0.497,0.497,0.501,0.497,0.472,0.521,0.500,0.51
Menat,0.349,0.355,0.394,0.381,0.348,0.414,0.396,0.391,0.413,0.441,0.446,0.437,0.381,0.426,0.448,0.42,0.525,0.415,0.457,0.481,0.448,0.467,0.446,0.429,0.509,0.464,0.497,0.459,0.463,0.46,0.459,0.478,0.496,0.477,0.492,0.524,0.434,0.49,0.500
