E.Honda,0.500,0.51,0.539,0.601,0.601,0.532,0.544,0.606,0.529,0.543,0.517,0.53,0.528,0.511,0.494,0.527,0.515,0.544,0.568,0.545,0.572,0.538,0.593,0.594,0.594,0.607,0.579,0.548,0.569,0.56,0.586,0.598,0.553,0.587,0.582,0.574,0.633,0.628,0.613,0.644,0.615,0.646
Urien,0.49,0.500,0.503,0.513,0.55,0.517,0.485,0.546,0.495,0.533,0.521,0.53,0.484,0.511,0.546,0.535,0.544,0.521,0.534,0.539,0.533,0.534,0.543,0.549,0.556,0.587,0.578,0.546,0.543,0.554,0.565,0.552,0.563,0.558,0.566,0.575,0.57,0.602,0.563,0.583,0.595,0.612
DICTATOR,0.461,0.497,0.500,0.539,0.487,0.521,0.468,0.53,0.562,0.513,0.529,0.541,0.539,0.531,0.503,0.538,0.475,0.584,0.54,0.496,0.548,0.541,0.549,0.54,0.544,0.58,0.544,0.521,0.549,0.558,0.54,0.576,0.549,0.53,0.549,0.572,0.566,0.599,0.562,0.627,0.557,0.627
BOXER,0.4,0.487,0.461,0.500,0.501,0.495,0.521,0.545,0.555,0.514,0.505,0.547,0.496,0.528,0.487,0.523,0.481,0.56,0.565,0.507,0.55,0.538,0.543,0.552,0.56,0.579,0.575,0.545,0.561,0.546,0.567,0.566,0.552,0.566,0.566,0.571,0.574,0.593,0.582,0.619,0.555,0.621
Blanka,0.399,0.45,0.513,0.499,0.500,0.501,0.519,0.571,0.541,0.516,0.501,0.505,0.512,0.488,0.486,0.525,0.553,0.541,0.512,0.49,0.528,0.546,0.54,0.538,0.539,0.572,0.527,0.534,0.566,0.546,0.548,0.569,0.559,0.557,0.566,0.578,0.569,0.57,0.556,0.624,0.549,0.605
Alex,0.468,0.483,0.479,0.505,0.499,0.500,0.465,0.527,0.488,0.499,0.475,0.527,0.512,0.54,0.517,0.511,0.528,0.553,0.52,0.497,0.519,0.532,0.54,0.536,0.544,0.585,0.551,0.527,0.542,0.548,0.554,0.569,0.537,0.542,0.564,0.539,0.566,0.582,0.537,0.603,0.561,0.612
CLAW,0.456,0.515,0.532,0.479,0.481,0.535,0.500,0.576,0.515,0.512,0.492,0.523,0.522,0.49,0.568,0.498,0.519,0.557,0.546,0.489,0.547,0.517,0.517,0.541,0.527,0.556,0.544,0.512,0.563,0.536,0.522,0.553,0.53,0.531,0.513,0.544,0.537,0.58,0.553,0.587,0.573,0.606
Dhalsim,0.394,0.454,0.47,0.455,0.429,0.473,0.425,0.500,0.576,0.504,0.503,0.548,0.511,0.533,0.486,0.53,0.659,0.595,0.473,0.485,0.524,0.558,0.491,0.525,0.529,0.541,0.549,0.525,0.501,0.533,0.49,0.515,0.577,0.516,0.585,0.581,0.528,0.575,0.479,0.586,0.565,0.577
Falke,0.471,0.505,0.438,0.445,0.46,0.513,0.485,0.424,0.500,0.514,0.497,0.489,0.488,0.503,0.515,0.503,0.607,0.56,0.524,0.537,0.509,0.541,0.541,0.512,0.54,0.498,0.545,0.533,0.541,0.554,0.503,0.526,0.556,0.527,0.566,0.56,0.569,0.535,0.542,0.566,0.567,0.562
Birdie,0.457,0.467,0.487,0.486,0.484,0.501,0.488,0.496,0.486,0.500,0.503,0.504,0.5,0.51,0.467,0.523,0.555,0.519,0.543,0.513,0.497,0.534,0.514,0.52,0.547,0.579,0.554,0.513,0.547,0.547,0.579,0.562,0.537,0.546,0.547,0.535,0.559,0.593,0.524,0.556,0.573,0.58
Edd,0.483,0.479,0.471,0.495,0.499,0.525,0.508,0.497,0.503,0.497,0.500,0.504,0.51,0.491,0.549,0.501,0.527,0.482,0.508,0.556,0.527,0.496,0.517,0.543,0.538,0.519,0.512,0.522,0.559,0.55,0.56,0.55,0.54,0.577,0.557,0.544,0.572,0.569,0.605,0.573,0.575,0.574
Gill,0.47,0.47,0.459,0.453,0.495,0.473,0.477,0.452,0.511,0.496,0.496,0.500,0.472,0.497,0.495,0.492,0.539,0.492,0.548,0.493,0.522,0.529,0.529,0.534,0.533,0.5,0.544,0.543,0.534,0.55,0.538,0.532,0.547,0.577,0.525,0.55,0.573,0.581,0.543,0.499,0.597,0.579
FANG,0.472,0.517,0.461,0.504,0.488,0.488,0.478,0.489,0.512,0.5,0.49,0.528,0.500,0.512,0.489,0.546,0.505,0.549,0.504,0.49,0.52,0.522,0.484,0.53,0.58,0.547,0.537,0.512,0.556,0.523,0.542,0.537,0.537,0.549,0.558,0.537,0.494,0.589,0.527,0.512,0.575,0.589
Guile,0.489,0.489,0.469,0.472,0.512,0.46,0.51,0.467,0.497,0.49,0.509,0.503,0.488,0.500,0.519,0.521,0.486,0.549,0.509,0.493,0.529,0.531,0.49,0.519,0.473,0.482,0.541,0.554,0.504,0.526,0.511,0.519,0.547,0.535,0.524,0.549,0.547,0.539,0.566,0.547,0.546,0.581
Abigail,0.506,0.454,0.497,0.513,0.514,0.483,0.432,0.514,0.485,0.533,0.451,0.505,0.511,0.481,0.500,0.491,0.58,0.525,0.524,0.515,0.508,0.507,0.495,0.499,0.53,0.574,0.561,0.488,0.573,0.512,0.534,0.535,0.522,0.562,0.544,0.502,0.568,0.579,0.528,0.59,0.561,0.588
Cody,0.473,0.465,0.462,0.477,0.475,0.489,0.502,0.47,0.497,0.477,0.499,0.509,0.454,0.479,0.509,0.500,0.516,0.477,0.514,0.495,0.516,0.506,0.532,0.516,0.529,0.512,0.54,0.531,0.544,0.533,0.52,0.547,0.53,0.539,0.543,0.548,0.571,0.552,0.569,0.563,0.556,0.561
Zangief,0.485,0.456,0.525,0.519,0.447,0.472,0.481,0.341,0.393,0.445,0.473,0.461,0.495,0.514,0.42,0.484,0.500,0.436,0.484,0.55,0.464,0.513,0.518,0.497,0.528,0.428,0.471,0.514,0.544,0.541,0.539,0.527,0.557,0.572,0.554,0.52,0.558,0.563,0.533,0.454,0.573,0.557
Sagat,0.456,0.479,0.416,0.44,0.459,0.447,0.443,0.405,0.44,0.481,0.518,0.508,0.452,0.451,0.475,0.523,0.564,0.500,0.498,0.519,0.482,0.519,0.501,0.514,0.502,0.472,0.543,0.536,0.512,0.515,0.52,0.528,0.523,0.536,0.525,0.553,0.545,0.563,0.52,0.517,0.566,0.538
Zeku,0.433,0.466,0.46,0.435,0.488,0.48,0.454,0.527,0.476,0.457,0.492,0.452,0.496,0.491,0.476,0.486,0.516,0.502,0.500,0.481,0.5,0.508,0.505,0.5,0.498,0.533,0.494,0.513,0.487,0.533,0.503,0.519,0.546,0.524,0.503,0.542,0.557,0.536,0.528,0.587,0.554,0.564
Laura,0.455,0.461,0.505,0.493,0.51,0.503,0.511,0.515,0.464,0.487,0.444,0.507,0.51,0.507,0.485,0.505,0.45,0.481,0.519,0.500,0.53,0.483,0.515,0.5,0.508,0.511,0.506,0.484,0.513,0.496,0.521,0.508,0.509,0.532,0.533,0.51,0.525,0.521,0.56,0.574,0.518,0.577
Nash,0.428,0.467,0.452,0.45,0.472,0.481,0.453,0.476,0.491,0.503,0.473,0.478,0.48,0.471,0.492,0.484,0.536,0.518,0.5,0.47,0.500,0.514,0.484,0.491,0.502,0.549,0.499,0.511,0.519,0.507,0.517,0.505,0.519,0.52,0.527,0.53,0.51,0.533,0.513,0.576,0.538,0.571
Ryu,0.462,0.466,0.459,0.462,0.454,0.468,0.483,0.442,0.459,0.466,0.504,0.471,0.478,0.469,0.493,0.494,0.487,0.481,0.492,0.517,0.486,0.500,0.505,0.506,0.491,0.456,0.492,0.519,0.495,0.509,0.513,0.501,0.514,0.529,0.518,0.534,0.511,0.518,0.54,0.492,0.546,0.545
