Urien,0.500,0.52,0.498,0.549,0.565,0.518,0.459,0.548,0.564,0.553,0.542,0.555,0.549,0.516,0.573,0.549,0.554,0.538,0.552,0.552,0.553,0.553,0.569,0.546,0.546,0.566,0.573,0.555,0.556,0.551,0.55,0.59,0.56,0.587,0.591
DICTATOR,0.48,0.500,0.526,0.515,0.486,0.482,0.513,0.488,0.505,0.481,0.462,0.532,0.544,0.556,0.525,0.538,0.513,0.54,0.56,0.54,0.568,0.611,0.507,0.53,0.566,0.606,0.579,0.546,0.563,0.563,0.551,0.611,0.573,0.59,0.587
BOXER,0.502,0.474,0.500,0.532,0.499,0.518,0.463,0.505,0.499,0.439,0.496,0.503,0.534,0.553,0.551,0.52,0.553,0.56,0.528,0.543,0.537,0.6,0.513,0.537,0.559,0.565,0.542,0.549,0.563,0.541,0.558,0.588,0.545,0.567,0.57
Dhalsim,0.451,0.485,0.468,0.500,0.522,0.442,0.513,0.452,0.519,0.656,0.467,0.457,0.525,0.557,0.517,0.546,0.494,0.491,0.506,0.489,0.557,0.612,0.507,0.575,0.538,0.62,0.526,0.546,0.575,0.563,0.475,0.566,0.538,0.586,0.551
Birdie,0.435,0.514,0.501,0.478,0.500,0.542,0.493,0.521,0.492,0.564,0.5,0.501,0.55,0.513,0.537,0.515,0.548,0.559,0.524,0.524,0.539,0.543,0.537,0.546,0.525,0.524,0.56,0.535,0.561,0.54,0.511,0.526,0.563,0.541,0.575
CLAW,0.482,0.518,0.482,0.558,0.458,0.500,0.54,0.494,0.567,0.528,0.472,0.529,0.535,0.501,0.497,0.521,0.493,0.564,0.531,0.519,0.5,0.579,0.507,0.497,0.563,0.592,0.552,0.531,0.546,0.538,0.549,0.574,0.541,0.552,0.569
Jam,0.541,0.487,0.537,0.488,0.507,0.46,0.500,0.482,0.547,0.487,0.491,0.492,0.556,0.527,0.533,0.493,0.515,0.546,0.54,0.506,0.596,0.591,0.543,0.553,0.555,0.551,0.515,0.534,0.55,0.526,0.522,0.522,0.508,0.574,0.553
Blanka,0.452,0.513,0.495,0.548,0.479,0.506,0.518,0.500,0.487,0.516,0.484,0.499,0.526,0.499,0.516,0.503,0.512,0.519,0.532,0.542,0.518,0.561,0.525,0.531,0.543,0.555,0.554,0.533,0.541,0.56,0.519,0.612,0.553,0.555,0.557
Abigail,0.436,0.495,0.501,0.481,0.509,0.433,0.453,0.513,0.500,0.577,0.488,0.494,0.526,0.487,0.521,0.443,0.523,0.505,0.53,0.491,0.508,0.5,0.557,0.522,0.523,0.544,0.536,0.501,0.522,0.517,0.501,0.562,0.571,0.498,0.547
Zangief,0.447,0.519,0.561,0.344,0.436,0.472,0.513,0.484,0.423,0.500,0.547,0.496,0.522,0.514,0.459,0.477,0.521,0.518,0.53,0.506,0.505,0.421,0.541,0.54,0.472,0.458,0.526,0.513,0.525,0.551,0.538,0.46,0.549,0.523,0.57
Laura,0.458,0.538,0.504,0.533,0.5,0.528,0.509,0.516,0.512,0.453,0.500,0.531,0.506,0.522,0.546,0.474,0.521,0.525,0.505,0.516,0.528,0.47,0.554,0.52,0.56,0.507,0.511,0.503,0.505,0.499,0.537,0.562,0.523,0.504,0.536
Alex,0.445,0.468,0.497,0.543,0.499,0.472,0.508,0.501,0.506,0.504,0.469,0.500,0.512,0.528,0.526,0.458,0.5,0.492,0.495,0.511,0.489,0.473,0.521,0.515,0.52,0.537,0.529,0.51,0.53,0.528,0.495,0.59,0.534,0.517,0.568
Karin,0.451,0.456,0.466,0.475,0.45,0.465,0.444,0.474,0.474,0.478,0.494,0.488,0.500,0.529,0.494,0.509,0.497,0.489,0.491,0.51,0.517,0.502,0.543,0.494,0.525,0.527,0.521,0.534,0.535,0.53,0.535,0.519,0.532,0.539,0.553
Guile,0.484,0.444,0.447,0.443,0.487,0.499,0.473,0.501,0.513,0.486,0.478,0.472,0.471,0.500,0.507,0.524,0.493,0.497,0.472,0.47,0.513,0.516,0.508,0.492,0.497,0.572,0.501,0.545,0.541,0.532,0.555,0.469,0.529,0.552,0.532
G,0.427,0.475,0.449,0.483,0.463,0.503,0.467,0.484,0.479,0.541,0.454,0.474,0.506,0.493,0.500,0.493,0.499,0.514,0.515,0.534,0.494,0.55,0.477,0.505,0.51,0.499,0.53,0.525,0.538,0.53,0.511,0.523,0.552,0.537,0.547
Edd,0.452,0.462,0.48,0.454,0.485,0.48,0.507,0.497,0.557,0.523,0.526,0.542,0.491,0.476,0.507,0.500,0.541,0.496,0.52,0.516,0.506,0.542,0.527,0.514,0.509,0.515,0.546,0.498,0.488,0.509,0.537,0.566,0.551,0.533,0.558
Kolin,0.446,0.487,0.447,0.506,0.452,0.507,0.485,0.488,0.477,0.479,0.479,0.5,0.503,0.507,0.501,0.459,0.500,0.496,0.494,0.522,0.509,0.532,0.519,0.494,0.529,0.534,0.521,0.52,0.512,0.523,0.53,0.547,0.553,0.537,0.546
Zeku,0.462,0.46,0.44,0.509,0.441,0.437,0.454,0.481,0.495,0.482,0.475,0.508,0.511,0.503,0.486,0.504,0.505,0.500,0.494,0.491,0.517,0.502,0.483,0.488,0.527,0.513,0.518,0.511,0.52,0.538,0.505,0.547,0.555,0.547,0.546
Ibuki,0.448,0.44,0.472,0.494,0.476,0.469,0.46,0.468,0.47,0.47,0.495,0.505,0.509,0.528,0.485,0.48,0.506,0.506,0.500,0.513,0.48,0.512,0.512,0.505,0.535,0.531,0.505,0.525,0.522,0.506,0.505,0.528,0.526,0.532,0.541
Necalli,0.448,0.46,0.457,0.511,0.476,0.481,0.494,0.458,0.509,0.494,0.484,0.489,0.49,0.53,0.466,0.484,0.478,0.509,0.487,0.500,0.496,0.513,0.505,0.511,0.528,0.515,0.49,0.518,0.511,0.52,0.513,0.527,0.524,0.541,0.529
Cody,0.448,0.432,0.463,0.443,0.461,0.5,0.405,0.482,0.492,0.495,0.472,0.511,0.483,0.487,0.506,0.494,0.491,0.483,0.52,0.504,0.500,0.514,0.504,0.504,0.507,0.509,0.541,0.509,0.504,0.505,0.533,0.501,0.544,0.527,0.541
Falke,0.447,0.389,0.4,0.388,0.457,0.421,0.409,0.439,0.5,0.579,0.53,0.527,0.498,0.484,0.45,0.458,0.468,0.498,0.488,0.488,0.486,0.500,0.502,0.527,0.491,0.549,0.497,0.508,0.513,0.512,0.493,0.504,0.546,0.54,0.536
R.Mika,0.431,0.493,0.487,0.493,0.463,0.493,0.457,0.475,0.443,0.459,0.446,0.479,0.457,0.492,0.523,0.473,0.481,0.517,0.488,0.495,0.496,0.498,0.500,0.505,0.524,0.482,0.521,0.5,0.498,0.53,0.511,0.535,0.51,0.545,0.521
ChunLi,0.454,0.47,0.463,0.425,0.454,0.503,0.447,0.469,0.478,0.46,0.48,0.485,0.506,0.508,0.495,0.486,0.506,0.512,0.495,0.489,0.496,0.473,0.495,0.500,0.498,0.506,0.497,0.496,0.517,0.505,0.516,0.467,0.496,0.522,0.514
Nash,0.454,0.434,0.441,0.462,0.475,0.437,0.445,0.457,0.477,0.528,0.44,0.48,0.475,0.503,0.49,0.491,0.471,0.473,0.465,0.472,0.493,0.509,0.476,0.502,0.500,0.524,0.489,0.508,0.526,0.505,0.494,0.505,0.495,0.521,0.533
Sagat,0.434,0.394,0.435,0.381,0.476,0.408,0.449,0.445,0.456,0.542,0.493,0.463,0.473,0.428,0.501,0.485,0.466,0.487,0.469,0.485,0.491,0.451,0.518,0.494,0.476,0.500,0.505,0.53,0.514,0.501,0.497,0.495,0.538,0.528,0.527
Juri,0.427,0.421,0.458,0.474,0.44,0.448,0.485,0.446,0.464,0.474,0.489,0.471,0.479,0.499,0.47,0.454,0.479,0.482,0.496,0.51,0.459,0.503,0.479,0.503,0.511,0.495,0.500,0.486,0.502,0.507,0.502,0.54,0.529,0.522,0.509
Ken,0.445,0.454,0.451,0.454,0.465,0.469,0.466,0.467,0.499,0.487,0.497,0.49,0.466,0.455,0.475,0.502,0.48,0.489,0.475,0.482,0.491,0.492,0.5,0.504,0.492,0.47,0.514,0.500,0.486,0.495,0.522,0.51,0.5,0.522,0.519
