DICTATOR,0.500,0.513,0.523,0.492,0.485,0.549,0.501,0.547,0.544,0.501,0.532,0.537,0.49,0.57,0.508,0.525,0.555,0.488,0.553,0.575,0.56,0.579,0.545,0.536,0.603,0.572,0.568,0.561,0.647,0.613,0.586,0.631
Urien,0.487,0.500,0.525,0.534,0.513,0.502,0.544,0.517,0.467,0.557,0.538,0.545,0.533,0.544,0.571,0.553,0.549,0.536,0.542,0.532,0.556,0.549,0.545,0.539,0.56,0.539,0.556,0.556,0.561,0.557,0.577,0.616
Dhalsim,0.477,0.476,0.500,0.43,0.447,0.573,0.494,0.453,0.486,0.542,0.456,0.522,0.508,0.497,0.688,0.476,0.511,0.493,0.536,0.532,0.508,0.582,0.542,0.486,0.537,0.574,0.525,0.596,0.599,0.532,0.598,0.611
Blanka,0.508,0.466,0.57,0.500,0.525,0.486,0.453,0.504,0.572,0.49,0.507,0.508,0.519,0.554,0.533,0.523,0.555,0.488,0.542,0.541,0.534,0.552,0.543,0.549,0.548,0.555,0.546,0.548,0.567,0.599,0.567,0.583
CLAW,0.515,0.487,0.553,0.475,0.500,0.499,0.561,0.473,0.541,0.478,0.546,0.5,0.488,0.495,0.537,0.506,0.542,0.468,0.53,0.549,0.555,0.539,0.516,0.516,0.566,0.539,0.54,0.501,0.59,0.558,0.544,0.57
Guile,0.451,0.498,0.427,0.514,0.501,0.500,0.536,0.475,0.482,0.518,0.472,0.532,0.501,0.492,0.518,0.514,0.494,0.503,0.482,0.522,0.519,0.544,0.55,0.562,0.524,0.551,0.525,0.519,0.58,0.542,0.566,0.592
Abigail,0.499,0.456,0.506,0.547,0.439,0.464,0.500,0.552,0.499,0.544,0.506,0.456,0.536,0.518,0.589,0.54,0.548,0.528,0.55,0.515,0.546,0.521,0.493,0.502,0.535,0.515,0.586,0.556,0.538,0.562,0.507,0.585
BOXER,0.453,0.483,0.547,0.496,0.527,0.525,0.448,0.500,0.471,0.497,0.488,0.51,0.496,0.528,0.446,0.533,0.518,0.493,0.528,0.549,0.547,0.54,0.527,0.568,0.536,0.523,0.533,0.552,0.622,0.575,0.555,0.587
Jam,0.456,0.533,0.514,0.428,0.459,0.518,0.501,0.529,0.500,0.51,0.509,0.479,0.521,0.518,0.485,0.516,0.521,0.515,0.545,0.54,0.536,0.545,0.528,0.51,0.54,0.517,0.52,0.558,0.585,0.49,0.568,0.59
Birdie,0.499,0.443,0.458,0.51,0.522,0.482,0.456,0.503,0.49,0.500,0.487,0.501,0.514,0.539,0.566,0.558,0.52,0.505,0.55,0.507,0.557,0.545,0.514,0.492,0.562,0.525,0.547,0.547,0.53,0.517,0.531,0.596
Alex,0.468,0.462,0.544,0.493,0.454,0.529,0.494,0.512,0.491,0.513,0.500,0.475,0.493,0.517,0.523,0.486,0.517,0.486,0.529,0.516,0.514,0.525,0.504,0.508,0.541,0.528,0.542,0.527,0.537,0.601,0.521,0.561
Edd,0.463,0.456,0.478,0.492,0.5,0.468,0.544,0.49,0.521,0.499,0.525,0.500,0.519,0.508,0.528,0.554,0.519,0.534,0.522,0.513,0.519,0.491,0.503,0.547,0.528,0.517,0.542,0.528,0.527,0.568,0.541,0.554
R.Mika,0.51,0.467,0.492,0.481,0.512,0.499,0.464,0.504,0.479,0.486,0.507,0.481,0.500,0.483,0.467,0.485,0.509,0.493,0.496,0.53,0.529,0.504,0.5,0.498,0.519,0.541,0.514,0.512,0.518,0.554,0.538,0.549
Necalli,0.43,0.456,0.503,0.446,0.505,0.508,0.482,0.472,0.482,0.461,0.483,0.492,0.517,0.500,0.505,0.489,0.488,0.497,0.499,0.526,0.51,0.516,0.515,0.516,0.511,0.521,0.528,0.527,0.521,0.519,0.534,0.558
Zangief,0.492,0.429,0.312,0.467,0.463,0.482,0.411,0.554,0.515,0.434,0.477,0.472,0.533,0.495,0.500,0.521,0.511,0.556,0.522,0.455,0.517,0.524,0.515,0.502,0.528,0.553,0.539,0.534,0.432,0.433,0.51,0.548
Kolin,0.475,0.447,0.524,0.477,0.494,0.486,0.46,0.467,0.484,0.442,0.514,0.446,0.515,0.511,0.479,0.500,0.482,0.501,0.513,0.506,0.512,0.511,0.513,0.516,0.52,0.498,0.541,0.501,0.545,0.544,0.525,0.555
Ibuki,0.445,0.451,0.489,0.445,0.458,0.506,0.452,0.482,0.479,0.48,0.483,0.481,0.491,0.512,0.489,0.518,0.500,0.505,0.518,0.518,0.504,0.511,0.512,0.502,0.517,0.498,0.521,0.52,0.513,0.532,0.53,0.55
Laura,0.512,0.464,0.507,0.512,0.532,0.497,0.472,0.507,0.485,0.495,0.514,0.466,0.507,0.503,0.444,0.499,0.495,0.500,0.486,0.545,0.522,0.489,0.482,0.529,0.519,0.491,0.503,0.51,0.506,0.551,0.49,0.563
Karin,0.447,0.458,0.464,0.458,0.47,0.518,0.45,0.472,0.455,0.45,0.471,0.478,0.504,0.501,0.478,0.487,0.482,0.514,0.500,0.518,0.5,0.521,0.508,0.508,0.514,0.515,0.518,0.505,0.489,0.511,0.534,0.544
Nash,0.425,0.468,0.468,0.459,0.451,0.478,0.485,0.452,0.46,0.493,0.484,0.487,0.47,0.474,0.545,0.494,0.482,0.455,0.482,0.500,0.487,0.522,0.517,0.492,0.499,0.515,0.505,0.53,0.544,0.543,0.534,0.553
Zeku,0.44,0.444,0.492,0.466,0.445,0.481,0.454,0.453,0.464,0.443,0.486,0.481,0.471,0.49,0.483,0.488,0.496,0.478,0.5,0.513,0.500,0.498,0.499,0.496,0.5,0.521,0.525,0.491,0.507,0.521,0.538,0.555
Ryu,0.421,0.451,0.418,0.448,0.461,0.456,0.479,0.46,0.455,0.456,0.475,0.509,0.496,0.484,0.476,0.489,0.489,0.511,0.479,0.478,0.502,0.500,0.517,0.513,0.498,0.504,0.502,0.499,0.501,0.497,0.533,0.542
Ken,0.455,0.455,0.458,0.457,0.484,0.45,0.507,0.473,0.472,0.486,0.496,0.497,0.5,0.485,0.485,0.487,0.488,0.518,0.492,0.483,0.501,0.483,0.500,0.521,0.507,0.496,0.5,0.518,0.507,0.511,0.525,0.518
Rashid,0.464,0.461,0.514,0.451,0.484,0.438,0.498,0.432,0.49,0.508,0.492,0.453,0.502,0.484,0.498,0.484,0.498,0.471,0.492,0.508,0.504,0.487,0.479,0.500,0.492,0.501,0.49,0.513,0.524,0.547,0.485,0.53
Juri,0.397,0.44,0.463,0.452,0.434,0.476,0.465,0.464,0.46,0.438,0.46,0.472,0.481,0.489,0.472,0.48,0.483,0.481,0.486,0.501,0.5,0.502,0.493,0.508,0.500,0.504,0.513,0.527,0.516,0.508,0.521,0.531
Akuma,0.428,0.461,0.426,0.445,0.461,0.449,0.485,0.477,0.483,0.475,0.472,0.483,0.459,0.479,0.447,0.502,0.502,0.509,0.485,0.485,0.479,0.496,0.504,0.499,0.496,0.500,0.489,0.512,0.503,0.503,0.52,0.541
Cammy,0.432,0.444,0.475,0.454,0.46,0.475,0.414,0.467,0.48,0.453,0.458,0.458,0.486,0.472,0.461,0.46,0.479,0.497,0.482,0.495,0.475,0.498,0.5,0.51,0.488,0.511,0.500,0.51,0.47,0.484,0.526,0.51
ChunLi,0.44,0.444,0.404,0.452,0.499,0.481,0.444,0.448,0.442,0.453,0.473,0.472,0.488,0.473,0.466,0.499,0.48,0.49,0.495,0.47,0.509,0.501,0.482,0.487,0.473,0.488,0.49,0.500,0.49,0.464,0.51,0.529
Falke,0.353,0.439,0.401,0.433,0.41,0.42,0.462,0.379,0.415,0.47,0.463,0.473,0.482,0.479,0.568,0.455,0.487,0.494,0.511,0.456,0.493,0.499,0.493,0.476,0.484,0.497,0.53,0.51,0.500,0.475,0.515,0.54
Menat,0.388,0.443,0.468,0.401,0.442,0.458,0.438,0.425,0.51,0.483,0.4,0.432,0.446,0.481,0.567,0.456,0.468,0.449,0.489,0.457,0.479,0.503,0.489,0.453,0.492,0.497,0.516,0.536,0.525,0.500,0.492,0.539
Sakura,0.414,0.423,0.403,0.433,0.456,0.434,0.493,0.445,0.432,0.469,0.479,0.459,0.462,0.466,0.49,0.475,0.47,0.51,0.466,0.466,0.462,0.467,0.475,0.515,0.479,0.48,0.474,0.49,0.485,0.509,0.500,0.513
Cody,0.369,0.384,0.389,0.417,0.43,0.408,0.415,0.413,0.411,0.404,0.439,0.446,0.451,0.442,0.452,0.445,0.45,0.437,0.456,0.447,0.445,0.458,0.482,0.47,0.469,0.459,0.49,0.471,0.46,0.461,0.488,0.500
