Urien,0.500,0.504,0.54,0.559,0.518,0.562,0.48,0.52,0.553,0.563,0.545,0.519,0.562,0.53,0.559,0.578,0.56,0.544,0.56,0.539,0.547,0.562,0.569,0.555,0.56,0.585,0.575,0.556,0.558,0.556,0.563,0.562,0.587,0.563,0.565,0.608,0.588,0.584
DICTATOR,0.496,0.500,0.531,0.495,0.491,0.493,0.528,0.525,0.511,0.526,0.54,0.547,0.548,0.588,0.538,0.53,0.484,0.484,0.522,0.554,0.517,0.568,0.576,0.563,0.58,0.584,0.549,0.572,0.629,0.561,0.549,0.62,0.581,0.548,0.58,0.588,0.585,0.604
Dhalsim,0.46,0.469,0.500,0.533,0.437,0.48,0.499,0.471,0.495,0.418,0.522,0.578,0.533,0.597,0.479,0.531,0.656,0.492,0.471,0.483,0.527,0.568,0.526,0.51,0.568,0.517,0.57,0.569,0.545,0.565,0.549,0.634,0.551,0.477,0.524,0.559,0.569,0.559
Birdie,0.441,0.505,0.468,0.500,0.526,0.514,0.505,0.529,0.494,0.522,0.503,0.521,0.542,0.515,0.501,0.527,0.557,0.516,0.552,0.576,0.524,0.549,0.541,0.513,0.519,0.557,0.54,0.558,0.526,0.539,0.522,0.549,0.56,0.504,0.538,0.591,0.55,0.587
CLAW,0.482,0.509,0.563,0.474,0.500,0.502,0.538,0.481,0.572,0.539,0.509,0.504,0.545,0.547,0.548,0.52,0.521,0.466,0.503,0.554,0.52,0.491,0.525,0.52,0.577,0.553,0.516,0.539,0.571,0.545,0.527,0.607,0.59,0.536,0.543,0.547,0.562,0.567
Blanka,0.438,0.507,0.52,0.486,0.498,0.500,0.539,0.491,0.485,0.454,0.51,0.49,0.527,0.51,0.501,0.517,0.521,0.48,0.504,0.548,0.527,0.524,0.543,0.533,0.52,0.555,0.553,0.545,0.606,0.567,0.534,0.556,0.558,0.531,0.547,0.572,0.559,0.563
Jam,0.52,0.472,0.501,0.495,0.462,0.461,0.500,0.543,0.558,0.512,0.485,0.55,0.558,0.471,0.514,0.519,0.486,0.484,0.532,0.522,0.531,0.529,0.544,0.497,0.545,0.527,0.523,0.538,0.458,0.525,0.519,0.588,0.579,0.524,0.499,0.597,0.604,0.55
BOXER,0.48,0.475,0.529,0.472,0.519,0.509,0.457,0.500,0.48,0.451,0.504,0.535,0.515,0.59,0.5,0.553,0.445,0.484,0.533,0.541,0.514,0.524,0.519,0.535,0.581,0.543,0.503,0.546,0.57,0.521,0.543,0.58,0.558,0.556,0.543,0.57,0.583,0.555
Abigail,0.447,0.489,0.505,0.506,0.428,0.515,0.442,0.52,0.500,0.567,0.436,0.484,0.514,0.503,0.511,0.536,0.581,0.494,0.522,0.514,0.535,0.528,0.537,0.506,0.528,0.526,0.515,0.52,0.57,0.518,0.504,0.563,0.53,0.499,0.576,0.588,0.487,0.547
E.Honda,0.437,0.474,0.582,0.478,0.461,0.546,0.488,0.549,0.433,0.500,0.497,0.487,0.532,0.508,0.502,0.516,0.466,0.458,0.53,0.512,0.502,0.482,0.524,0.547,0.546,0.543,0.533,0.518,0.586,0.514,0.534,0.532,0.549,0.54,0.577,0.554,0.52,0.549
Edd,0.455,0.46,0.478,0.497,0.492,0.49,0.515,0.496,0.564,0.503,0.500,0.48,0.498,0.512,0.534,0.511,0.536,0.525,0.532,0.51,0.527,0.503,0.538,0.525,0.512,0.534,0.536,0.493,0.553,0.523,0.496,0.506,0.541,0.57,0.566,0.542,0.541,0.562
Guile,0.481,0.453,0.422,0.479,0.496,0.51,0.45,0.465,0.516,0.513,0.52,0.500,0.465,0.517,0.477,0.508,0.492,0.494,0.505,0.511,0.504,0.518,0.477,0.478,0.513,0.499,0.505,0.54,0.466,0.53,0.55,0.591,0.533,0.557,0.526,0.549,0.565,0.533
Karin,0.438,0.452,0.467,0.458,0.455,0.473,0.442,0.485,0.486,0.468,0.502,0.535,0.500,0.487,0.486,0.495,0.484,0.509,0.496,0.494,0.515,0.509,0.513,0.525,0.53,0.532,0.502,0.534,0.508,0.535,0.536,0.536,0.526,0.541,0.536,0.551,0.545,0.561
Falke,0.47,0.412,0.403,0.485,0.453,0.49,0.529,0.41,0.497,0.492,0.488,0.483,0.513,0.500,0.518,0.476,0.58,0.524,0.492,0.507,0.509,0.497,0.492,0.526,0.48,0.535,0.553,0.534,0.535,0.53,0.518,0.558,0.519,0.501,0.532,0.533,0.566,0.542
Alex,0.441,0.462,0.521,0.499,0.452,0.499,0.486,0.5,0.489,0.498,0.466,0.523,0.514,0.482,0.500,0.536,0.501,0.483,0.487,0.498,0.488,0.484,0.518,0.519,0.516,0.527,0.501,0.519,0.568,0.519,0.504,0.569,0.527,0.506,0.53,0.588,0.515,0.544
G,0.422,0.47,0.469,0.473,0.48,0.483,0.481,0.447,0.464,0.484,0.489,0.492,0.505,0.524,0.464,0.500,0.549,0.488,0.522,0.516,0.451,0.496,0.501,0.513,0.523,0.537,0.531,0.536,0.533,0.527,0.512,0.511,0.532,0.507,0.544,0.552,0.536,0.552
Zangief,0.44,0.516,0.344,0.443,0.479,0.479,0.514,0.555,0.419,0.534,0.464,0.508,0.517,0.42,0.499,0.451,0.500,0.55,0.536,0.497,0.526,0.493,0.519,0.504,0.468,0.521,0.541,0.517,0.446,0.538,0.505,0.459,0.526,0.536,0.545,0.468,0.512,0.572
Laura,0.456,0.516,0.508,0.484,0.534,0.52,0.516,0.516,0.506,0.542,0.475,0.506,0.491,0.476,0.517,0.512,0.45,0.500,0.514,0.514,0.514,0.542,0.512,0.508,0.555,0.515,0.524,0.482,0.538,0.501,0.48,0.51,0.52,0.532,0.51,0.543,0.496,0.513
Kolin,0.44,0.478,0.529,0.448,0.497,0.496,0.468,0.467,0.478,0.47,0.468,0.495,0.505,0.508,0.513,0.478,0.464,0.486,0.500,0.511,0.525,0.498,0.486,0.522,0.537,0.522,0.5,0.516,0.534,0.505,0.523,0.529,0.535,0.52,0.553,0.535,0.522,0.547
Zeku,0.461,0.446,0.517,0.424,0.446,0.452,0.478,0.459,0.486,0.488,0.49,0.489,0.506,0.493,0.502,0.484,0.503,0.486,0.489,0.500,0.488,0.512,0.514,0.497,0.533,0.513,0.485,0.525,0.544,0.527,0.517,0.517,0.514,0.515,0.546,0.533,0.55,0.554
R.Mika,0.453,0.483,0.473,0.476,0.48,0.473,0.469,0.486,0.465,0.498,0.473,0.496,0.485,0.491,0.512,0.549,0.474,0.486,0.475,0.512,0.500,0.51,0.515,0.503,0.532,0.529,0.507,0.508,0.53,0.529,0.502,0.514,0.524,0.514,0.503,0.522,0.56,0.527
Cody,0.438,0.432,0.432,0.451,0.509,0.476,0.471,0.476,0.472,0.518,0.497,0.482,0.491,0.503,0.516,0.504,0.507,0.458,0.502,0.488,0.49,0.500,0.504,0.514,0.511,0.556,0.516,0.507,0.532,0.513,0.53,0.488,0.531,0.565,0.561,0.509,0.539,0.537
Ibuki,0.431,0.424,0.474,0.459,0.475,0.457,0.456,0.481,0.463,0.476,0.462,0.523,0.487,0.508,0.482,0.499,0.481,0.488,0.514,0.486,0.485,0.496,0.500,0.525,0.527,0.492,0.521,0.523,0.508,0.516,0.521,0.524,0.507,0.513,0.505,0.538,0.525,0.516
Necalli,0.445,0.437,0.49,0.487,0.48,0.467,0.503,0.465,0.494,0.453,0.475,0.522,0.475,0.474,0.481,0.487,0.496,0.492,0.478,0.503,0.497,0.486,0.475,0.500,0.522,0.491,0.535,0.514,0.505,0.51,0.512,0.531,0.509,0.515,0.512,0.523,0.52,0.513
Nash,0.44,0.42,0.432,0.481,0.423,0.48,0.455,0.419,0.472,0.454,0.488,0.487,0.47,0.52,0.484,0.477,0.532,0.445,0.463,0.467,0.468,0.489,0.473,0.478,0.500,0.495,0.503,0.529,0.529,0.498,0.513,0.544,0.509,0.496,0.484,0.515,0.534,0.516
Juri,0.415,0.416,0.483,0.443,0.447,0.445,0.473,0.457,0.474,0.457,0.466,0.501,0.468,0.465,0.473,0.463,0.479,0.485,0.478,0.487,0.471,0.444,0.508,0.509,0.505,0.500,0.521,0.506,0.546,0.506,0.497,0.499,0.511,0.507,0.531,0.492,0.53,0.527
ChunLi,0.425,0.451,0.43,0.46,0.484,0.447,0.477,0.497,0.485,0.467,0.464,0.495,0.498,0.447,0.499,0.469,0.459,0.476,0.501,0.515,0.493,0.484,0.479,0.465,0.497,0.479,0.500,0.503,0.447,0.497,0.492,0.504,0.509,0.501,0.474,0.503,0.515,0.504
Ryu,0.444,0.428,0.431,0.442,0.461,0.455,0.462,0.454,0.48,0.482,0.507,0.46,0.466,0.466,0.481,0.464,0.483,0.518,0.484,0.475,0.492,0.493,0.477,0.486,0.471,0.494,0.497,0.500,0.468,0.497,0.519,0.496,0.507,0.519,0.506,0.474,0.527,0.528
Menat,0.442,0.371,0.455,0.474,0.429,0.394,0.542,0.43,0.43,0.414,0.447,0.534,0.492,0.465,0.432,0.467,0.554,0.462,0.466,0.456,0.47,0.468,0.492,0.495,0.471,0.454,0.553,0.532,0.500,0.509,0.508,0.538,0.496,0.451,0.495,0.496,0.488,0.504
