DICTATOR,0.500,0.533,0.544,0.55,0.487,0.494,0.557,0.552,0.537,0.488,0.525,0.527,0.555,0.503,0.553,0.554,0.576,0.54,0.517,0.58,0.578,0.614,0.568,0.604,0.584,0.571,0.663,0.686
Urien,0.467,0.500,0.469,0.516,0.488,0.524,0.54,0.506,0.519,0.51,0.549,0.521,0.538,0.523,0.536,0.547,0.54,0.541,0.569,0.536,0.55,0.565,0.564,0.557,0.578,0.574,0.6,0.666
FANG,0.456,0.531,0.500,0.509,0.475,0.507,0.54,0.542,0.511,0.484,0.513,0.536,0.535,0.531,0.569,0.526,0.53,0.52,0.512,0.553,0.549,0.567,0.556,0.591,0.54,0.566,0.572,0.67
BOXER,0.45,0.484,0.491,0.500,0.515,0.488,0.554,0.54,0.53,0.487,0.477,0.533,0.503,0.505,0.551,0.536,0.572,0.552,0.476,0.566,0.549,0.587,0.557,0.581,0.56,0.572,0.638,0.688
CLAW,0.513,0.512,0.525,0.485,0.500,0.505,0.57,0.503,0.509,0.467,0.572,0.48,0.556,0.518,0.544,0.532,0.528,0.521,0.545,0.555,0.552,0.579,0.528,0.553,0.538,0.54,0.618,0.676
Birdie,0.506,0.476,0.493,0.512,0.495,0.500,0.492,0.493,0.547,0.506,0.472,0.548,0.513,0.525,0.555,0.524,0.559,0.486,0.57,0.545,0.553,0.584,0.539,0.565,0.57,0.532,0.574,0.651
Dhalsim,0.443,0.46,0.46,0.446,0.43,0.508,0.500,0.572,0.497,0.47,0.48,0.459,0.472,0.485,0.53,0.521,0.501,0.476,0.68,0.548,0.567,0.549,0.589,0.585,0.541,0.558,0.603,0.648
Guile,0.448,0.494,0.458,0.46,0.497,0.507,0.428,0.500,0.46,0.485,0.565,0.514,0.476,0.487,0.465,0.533,0.485,0.547,0.528,0.528,0.551,0.501,0.531,0.548,0.519,0.558,0.578,0.658
Ibuki,0.463,0.481,0.489,0.47,0.491,0.453,0.503,0.54,0.500,0.495,0.474,0.533,0.508,0.528,0.522,0.513,0.528,0.504,0.498,0.567,0.524,0.532,0.545,0.543,0.524,0.553,0.574,0.621
Laura,0.512,0.49,0.516,0.513,0.533,0.494,0.53,0.515,0.505,0.500,0.504,0.533,0.529,0.529,0.515,0.494,0.52,0.546,0.47,0.559,0.503,0.533,0.54,0.518,0.541,0.517,0.581,0.622
Abigail,0.475,0.452,0.487,0.523,0.428,0.528,0.52,0.435,0.526,0.496,0.500,0.535,0.514,0.539,0.532,0.468,0.512,0.493,0.583,0.532,0.51,0.541,0.525,0.515,0.566,0.49,0.579,0.616
Kolin,0.473,0.479,0.464,0.467,0.52,0.452,0.541,0.486,0.467,0.467,0.465,0.500,0.524,0.532,0.524,0.492,0.517,0.519,0.483,0.533,0.511,0.535,0.515,0.522,0.552,0.522,0.6,0.606
Alex,0.445,0.462,0.465,0.497,0.444,0.487,0.528,0.524,0.492,0.471,0.486,0.476,0.500,0.485,0.509,0.48,0.52,0.484,0.516,0.533,0.518,0.54,0.513,0.534,0.526,0.528,0.608,0.609
R.Mika,0.497,0.477,0.469,0.495,0.482,0.475,0.515,0.513,0.472,0.471,0.461,0.468,0.515,0.500,0.48,0.494,0.522,0.491,0.493,0.52,0.539,0.524,0.526,0.515,0.527,0.507,0.592,0.597
Karin,0.447,0.464,0.431,0.449,0.456,0.445,0.47,0.535,0.478,0.485,0.468,0.476,0.491,0.52,0.500,0.515,0.508,0.503,0.487,0.535,0.525,0.536,0.506,0.533,0.533,0.526,0.519,0.6
Edd,0.446,0.453,0.474,0.464,0.468,0.476,0.479,0.467,0.487,0.506,0.532,0.508,0.52,0.506,0.485,0.500,0.493,0.522,0.531,0.497,0.509,0.527,0.526,0.49,0.539,0.512,0.607,0.587
Necalli,0.424,0.46,0.47,0.428,0.472,0.441,0.499,0.515,0.472,0.48,0.488,0.483,0.48,0.478,0.492,0.507,0.500,0.488,0.507,0.52,0.514,0.521,0.544,0.525,0.529,0.521,0.544,0.594
Rashid,0.46,0.459,0.48,0.448,0.479,0.514,0.524,0.453,0.496,0.454,0.507,0.481,0.516,0.509,0.497,0.478,0.512,0.500,0.518,0.517,0.509,0.527,0.527,0.503,0.508,0.506,0.585,0.593
Zangief,0.483,0.431,0.488,0.524,0.455,0.43,0.32,0.472,0.502,0.53,0.417,0.517,0.484,0.507,0.513,0.469,0.493,0.482,0.500,0.454,0.549,0.529,0.514,0.519,0.541,0.521,0.431,0.566
Nash,0.42,0.464,0.448,0.434,0.445,0.455,0.452,0.472,0.433,0.441,0.468,0.467,0.467,0.48,0.465,0.503,0.48,0.483,0.546,0.500,0.515,0.512,0.52,0.536,0.502,0.512,0.583,0.601
Akuma,0.422,0.45,0.452,0.451,0.448,0.447,0.433,0.449,0.476,0.497,0.49,0.489,0.482,0.461,0.475,0.491,0.486,0.491,0.451,0.485,0.500,0.496,0.513,0.499,0.487,0.509,0.525,0.564
Juri,0.386,0.436,0.433,0.413,0.421,0.416,0.451,0.499,0.468,0.467,0.459,0.465,0.46,0.476,0.464,0.473,0.479,0.473,0.471,0.488,0.504,0.500,0.499,0.506,0.504,0.501,0.54,0.602
ChunLi,0.432,0.436,0.444,0.443,0.472,0.461,0.411,0.469,0.455,0.46,0.475,0.485,0.487,0.474,0.494,0.474,0.456,0.473,0.486,0.48,0.488,0.501,0.500,0.498,0.494,0.493,0.498,0.592
