Falke,0.418,0.421,0.469,0.455,0.425,0.459,0.464,0.431,0.495,0.5,0.5,0.485,0.500,0.512,0.492,0.487,0.59,0.479,0.508,0.512,0.555,0.519,0.527,0.537,0.5,0.533,0.504,0.547,0.563,0.527,0.527,0.536,0.532,0.551,0.571,0.571,0.559,0.523,0.605
Alex,0.472,0.461,0.448,0.437,0.519,0.492,0.473,0.507,0.515,0.501,0.527,0.482,0.488,0.500,0.513,0.49,0.505,0.517,0.522,0.517,0.555,0.517,0.531,0.508,0.58,0.512,0.516,0.528,0.52,0.545,0.53,0.523,0.541,0.517,0.55,0.602,0.551,0.517,0.609
Necalli,0.408,0.44,0.463,0.48,0.492,0.45,0.486,0.479,0.477,0.498,0.533,0.489,0.508,0.487,0.500,0.504,0.51,0.515,0.497,0.501,0.532,0.525,0.502,0.513,0.514,0.518,0.507,0.53,0.561,0.493,0.519,0.536,0.534,0.543,0.535,0.553,0.543,0.554,0.598
Cody,0.479,0.442,0.442,0.491,0.435,0.481,0.469,0.488,0.493,0.494,0.477,0.499,0.513,0.51,0.496,0.500,0.509,0.516,0.517,0.507,0.495,0.526,0.534,0.501,0.501,0.526,0.516,0.503,0.507,0.55,0.537,0.56,0.513,0.547,0.567,0.526,0.555,0.551,0.604
Zangief,0.51,0.492,0.429,0.447,0.344,0.468,0.5,0.537,0.426,0.41,0.509,0.469,0.41,0.495,0.49,0.491,0.500,0.464,0.461,0.513,0.451,0.509,0.534,0.56,0.455,0.503,0.541,0.515,0.529,0.539,0.52,0.561,0.557,0.518,0.552,0.463,0.568,0.538,0.556
Nash,0.428,0.435,0.462,0.432,0.461,0.467,0.488,0.453,0.494,0.49,0.48,0.496,0.521,0.483,0.485,0.484,0.537,0.500,0.51,0.496,0.532,0.508,0.479,0.476,0.529,0.508,0.511,0.536,0.519,0.524,0.517,0.519,0.524,0.544,0.508,0.571,0.535,0.54,0.586
G,0.436,0.453,0.429,0.471,0.468,0.47,0.48,0.448,0.482,0.459,0.479,0.487,0.492,0.478,0.503,0.483,0.539,0.49,0.500,0.506,0.496,0.519,0.521,0.489,0.525,0.521,0.526,0.529,0.529,0.54,0.526,0.505,0.526,0.524,0.547,0.543,0.545,0.531,0.539
Karin,0.433,0.445,0.451,0.464,0.479,0.451,0.44,0.459,0.449,0.472,0.515,0.489,0.488,0.484,0.499,0.493,0.487,0.504,0.494,0.500,0.513,0.509,0.506,0.499,0.525,0.517,0.504,0.519,0.513,0.537,0.517,0.525,0.532,0.537,0.53,0.524,0.553,0.543,0.555
Sagat,0.46,0.391,0.445,0.401,0.386,0.441,0.432,0.446,0.477,0.461,0.427,0.497,0.445,0.445,0.468,0.505,0.549,0.468,0.504,0.487,0.500,0.488,0.498,0.525,0.495,0.538,0.505,0.521,0.514,0.525,0.532,0.528,0.515,0.544,0.539,0.503,0.53,0.526,0.59
Zeku,0.441,0.442,0.439,0.426,0.505,0.462,0.474,0.441,0.439,0.483,0.483,0.492,0.481,0.483,0.475,0.474,0.491,0.492,0.481,0.491,0.513,0.500,0.508,0.485,0.52,0.504,0.5,0.509,0.487,0.505,0.518,0.501,0.526,0.514,0.543,0.544,0.539,0.546,0.549
Ibuki,0.446,0.437,0.445,0.427,0.47,0.453,0.435,0.454,0.473,0.448,0.502,0.459,0.473,0.469,0.498,0.466,0.466,0.521,0.479,0.494,0.502,0.492,0.500,0.505,0.52,0.504,0.513,0.511,0.514,0.512,0.519,0.517,0.516,0.534,0.52,0.542,0.533,0.528,0.549
Laura,0.469,0.494,0.434,0.488,0.479,0.483,0.483,0.508,0.479,0.469,0.481,0.454,0.463,0.492,0.487,0.499,0.44,0.524,0.511,0.501,0.475,0.515,0.495,0.500,0.51,0.475,0.529,0.481,0.516,0.52,0.499,0.53,0.5,0.493,0.521,0.549,0.509,0.557,0.563
Poison,0.404,0.421,0.401,0.451,0.416,0.403,0.447,0.429,0.445,0.418,0.463,0.466,0.501,0.42,0.486,0.499,0.545,0.472,0.476,0.475,0.505,0.48,0.48,0.49,0.500,0.507,0.516,0.533,0.533,0.505,0.511,0.492,0.515,0.523,0.515,0.51,0.537,0.497,0.572
Ken,0.439,0.455,0.445,0.457,0.441,0.484,0.479,0.466,0.48,0.494,0.456,0.488,0.467,0.488,0.482,0.474,0.497,0.492,0.479,0.483,0.462,0.496,0.496,0.525,0.493,0.500,0.494,0.485,0.521,0.523,0.501,0.528,0.506,0.505,0.516,0.507,0.517,0.544,0.525
Kolin,0.434,0.449,0.439,0.471,0.488,0.467,0.484,0.44,0.436,0.456,0.479,0.434,0.496,0.484,0.493,0.484,0.459,0.489,0.474,0.496,0.495,0.5,0.487,0.471,0.484,0.506,0.500,0.499,0.488,0.511,0.515,0.515,0.512,0.5,0.541,0.533,0.527,0.532,0.537
Ryu,0.445,0.435,0.45,0.44,0.414,0.458,0.454,0.45,0.45,0.481,0.454,0.505,0.453,0.472,0.47,0.497,0.485,0.464,0.471,0.481,0.479,0.492,0.489,0.519,0.467,0.515,0.501,0.500,0.49,0.507,0.516,0.52,0.508,0.523,0.508,0.481,0.531,0.524,0.555
ChunLi,0.426,0.454,0.426,0.467,0.396,0.429,0.458,0.478,0.455,0.472,0.489,0.476,0.437,0.48,0.439,0.493,0.471,0.481,0.471,0.487,0.486,0.513,0.486,0.484,0.467,0.479,0.512,0.51,0.500,0.493,0.512,0.488,0.506,0.497,0.508,0.482,0.513,0.509,0.575
Juri,0.384,0.419,0.431,0.418,0.467,0.447,0.447,0.442,0.445,0.457,0.472,0.456,0.473,0.456,0.507,0.45,0.461,0.476,0.46,0.463,0.475,0.495,0.488,0.48,0.495,0.477,0.489,0.493,0.507,0.500,0.509,0.49,0.509,0.525,0.502,0.522,0.511,0.521,0.533
Lucia,0.409,0.409,0.424,0.409,0.436,0.454,0.441,0.423,0.46,0.481,0.459,0.442,0.473,0.47,0.481,0.463,0.48,0.483,0.474,0.483,0.468,0.482,0.481,0.501,0.489,0.499,0.485,0.484,0.488,0.491,0.500,0.503,0.51,0.509,0.512,0.536,0.509,0.533,0.522
R.Mika,0.434,0.47,0.442,0.443,0.457,0.45,0.448,0.462,0.462,0.436,0.467,0.434,0.464,0.477,0.464,0.44,0.439,0.481,0.495,0.475,0.472,0.499,0.483,0.47,0.508,0.472,0.485,0.48,0.512,0.51,0.497,0.500,0.518,0.523,0.491,0.538,0.506,0.506,0.517
Akuma,0.449,0.429,0.443,0.444,0.415,0.43,0.451,0.457,0.458,0.478,0.458,0.466,0.468,0.459,0.466,0.487,0.443,0.476,0.474,0.468,0.485,0.474,0.484,0.5,0.485,0.494,0.488,0.492,0.494,0.491,0.49,0.482,0.500,0.511,0.491,0.487,0.495,0.523,0.524
Sakura,0.439,0.416,0.412,0.438,0.406,0.439,0.439,0.43,0.473,0.512,0.437,0.454,0.449,0.483,0.457,0.453,0.482,0.456,0.476,0.463,0.456,0.486,0.466,0.507,0.477,0.495,0.5,0.477,0.503,0.475,0.491,0.477,0.489,0.500,0.494,0.513,0.495,0.511,0.527
Cammy,0.379,0.427,0.42,0.439,0.452,0.442,0.46,0.436,0.445,0.416,0.457,0.429,0.429,0.45,0.465,0.433,0.448,0.492,0.453,0.47,0.461,0.457,0.48,0.479,0.485,0.484,0.459,0.492,0.492,0.498,0.488,0.509,0.509,0.506,0.500,0.497,0.493,0.51,0.509
Menat,0.381,0.371,0.41,0.388,0.425,0.376,0.416,0.408,0.462,0.406,0.474,0.412,0.429,0.398,0.447,0.474,0.537,0.429,0.457,0.476,0.497,0.456,0.458,0.451,0.49,0.493,0.467,0.519,0.518,0.478,0.464,0.462,0.513,0.487,0.503,0.500,0.496,0.445,0.572
Kage,0.422,0.401,0.407,0.407,0.433,0.421,0.453,0.435,0.422,0.449,0.456,0.435,0.441,0.449,0.457,0.445,0.432,0.465,0.455,0.447,0.47,0.461,0.467,0.491,0.463,0.483,0.473,0.469,0.488,0.489,0.491,0.494,0.505,0.505,0.507,0.504,0.500,0.515,0.508
Rashid,0.391,0.439,0.428,0.405,0.486,0.436,0.486,0.426,0.468,0.481,0.42,0.417,0.477,0.483,0.446,0.449,0.462,0.46,0.469,0.457,0.474,0.454,0.472,0.443,0.503,0.456,0.468,0.476,0.492,0.479,0.467,0.494,0.477,0.489,0.49,0.555,0.485,0.500,0.519
Gill,0.344,0.348,0.367,0.347,0.382,0.356,0.348,0.378,0.408,0.396,0.38,0.405,0.395,0.391,0.402,0.396,0.444,0.414,0.461,0.445,0.41,0.451,0.452,0.437,0.428,0.475,0.463,0.445,0.425,0.467,0.478,0.484,0.476,0.473,0.491,0.428,0.492,0.481,0.500
