E.Honda,0.500,0.506,0.496,0.493,0.608,0.562,0.479,0.582,0.52,0.482,0.522,0.523,0.582,0.528,0.592,0.521,0.49,0.572,0.565,0.568,0.54,0.559,0.554,0.531,0.597,0.561,0.566,0.555,0.574,0.616,0.591,0.566,0.551,0.561,0.621,0.619,0.578,0.609,0.656
DICTATOR,0.494,0.500,0.5,0.473,0.521,0.48,0.532,0.546,0.508,0.517,0.554,0.548,0.579,0.539,0.56,0.558,0.508,0.565,0.547,0.555,0.609,0.558,0.564,0.506,0.579,0.545,0.551,0.565,0.546,0.581,0.591,0.53,0.571,0.584,0.573,0.629,0.6,0.561,0.652
Urien,0.504,0.5,0.500,0.506,0.526,0.527,0.471,0.52,0.555,0.55,0.514,0.547,0.531,0.552,0.537,0.558,0.571,0.538,0.572,0.549,0.555,0.561,0.555,0.566,0.599,0.555,0.561,0.55,0.574,0.569,0.576,0.558,0.557,0.588,0.58,0.59,0.593,0.572,0.633
CLAW,0.507,0.527,0.494,0.500,0.572,0.514,0.528,0.496,0.503,0.598,0.52,0.523,0.545,0.564,0.52,0.509,0.553,0.568,0.529,0.536,0.599,0.574,0.573,0.512,0.549,0.543,0.529,0.56,0.533,0.582,0.591,0.557,0.556,0.562,0.561,0.612,0.593,0.595,0.653
Dhalsim,0.392,0.479,0.474,0.428,0.500,0.464,0.491,0.458,0.523,0.5,0.581,0.55,0.575,0.481,0.508,0.565,0.656,0.539,0.532,0.521,0.614,0.495,0.53,0.521,0.584,0.559,0.512,0.586,0.604,0.533,0.564,0.543,0.585,0.594,0.548,0.575,0.567,0.514,0.618
Blanka,0.438,0.52,0.473,0.486,0.537,0.500,0.515,0.527,0.511,0.485,0.504,0.522,0.541,0.508,0.55,0.519,0.532,0.533,0.53,0.549,0.559,0.538,0.547,0.517,0.597,0.516,0.533,0.542,0.571,0.553,0.546,0.55,0.57,0.561,0.558,0.624,0.579,0.564,0.644
FANG,0.521,0.468,0.529,0.472,0.509,0.485,0.500,0.531,0.484,0.523,0.541,0.496,0.536,0.527,0.514,0.531,0.5,0.512,0.52,0.56,0.568,0.526,0.565,0.517,0.553,0.521,0.516,0.546,0.542,0.553,0.559,0.552,0.549,0.561,0.541,0.584,0.547,0.514,0.652
BOXER,0.418,0.454,0.48,0.504,0.542,0.473,0.469,0.500,0.472,0.487,0.532,0.509,0.569,0.493,0.521,0.512,0.463,0.547,0.552,0.541,0.554,0.559,0.546,0.492,0.571,0.534,0.56,0.55,0.522,0.558,0.577,0.538,0.543,0.57,0.564,0.592,0.565,0.574,0.622
Birdie,0.48,0.492,0.445,0.497,0.477,0.489,0.516,0.528,0.500,0.465,0.516,0.508,0.505,0.485,0.523,0.507,0.574,0.506,0.518,0.551,0.523,0.561,0.527,0.521,0.555,0.52,0.564,0.55,0.545,0.555,0.54,0.538,0.542,0.527,0.555,0.538,0.578,0.532,0.592
Abigail,0.518,0.483,0.45,0.402,0.5,0.515,0.477,0.513,0.535,0.500,0.485,0.459,0.501,0.499,0.502,0.506,0.59,0.51,0.541,0.528,0.539,0.517,0.552,0.531,0.582,0.506,0.544,0.519,0.528,0.543,0.519,0.565,0.522,0.488,0.584,0.594,0.551,0.519,0.604
Guile,0.478,0.446,0.486,0.48,0.419,0.496,0.459,0.468,0.484,0.515,0.500,0.515,0.5,0.473,0.467,0.523,0.491,0.52,0.521,0.485,0.573,0.517,0.498,0.519,0.537,0.544,0.521,0.546,0.511,0.528,0.541,0.533,0.542,0.563,0.543,0.526,0.544,0.58,0.62
Edd,0.477,0.452,0.453,0.477,0.45,0.478,0.504,0.491,0.492,0.541,0.485,0.500,0.515,0.518,0.511,0.501,0.531,0.504,0.513,0.511,0.503,0.508,0.541,0.546,0.534,0.512,0.566,0.496,0.524,0.544,0.558,0.566,0.534,0.546,0.571,0.588,0.565,0.584,0.595
