Urien,0.500,0.502,0.533,0.519,0.546,0.531,0.505,0.486,0.571,0.542,0.532,0.561,0.522,0.551,0.541,0.584,0.555,0.555,0.567,0.559,0.551,0.545,0.544,0.532,0.561,0.556,0.544,0.594,0.549,0.572,0.55,0.561,0.58,0.566,0.575,0.592,0.572,0.583
DICTATOR,0.498,0.500,0.529,0.5,0.494,0.542,0.489,0.551,0.507,0.53,0.574,0.515,0.549,0.529,0.533,0.539,0.519,0.565,0.498,0.541,0.555,0.552,0.476,0.559,0.525,0.545,0.537,0.572,0.565,0.549,0.573,0.613,0.59,0.581,0.574,0.619,0.603,0.595
Dhalsim,0.467,0.471,0.500,0.414,0.469,0.469,0.451,0.508,0.546,0.515,0.587,0.509,0.589,0.481,0.557,0.53,0.469,0.558,0.686,0.534,0.494,0.509,0.509,0.553,0.543,0.569,0.487,0.558,0.578,0.584,0.592,0.627,0.554,0.561,0.654,0.589,0.551,0.552
E.Honda,0.481,0.5,0.586,0.500,0.545,0.564,0.48,0.482,0.483,0.545,0.513,0.46,0.501,0.509,0.508,0.538,0.531,0.474,0.477,0.549,0.548,0.562,0.52,0.563,0.519,0.54,0.557,0.586,0.517,0.56,0.527,0.543,0.594,0.606,0.564,0.598,0.567,0.601
Blanka,0.454,0.506,0.531,0.455,0.500,0.504,0.512,0.524,0.484,0.522,0.505,0.486,0.507,0.492,0.508,0.519,0.519,0.527,0.528,0.544,0.528,0.513,0.492,0.533,0.517,0.528,0.502,0.57,0.569,0.535,0.55,0.55,0.558,0.559,0.554,0.616,0.546,0.552
BOXER,0.469,0.458,0.531,0.436,0.496,0.500,0.528,0.487,0.475,0.516,0.567,0.488,0.542,0.491,0.516,0.552,0.542,0.531,0.436,0.525,0.54,0.54,0.479,0.571,0.508,0.543,0.564,0.579,0.532,0.54,0.559,0.57,0.548,0.547,0.549,0.606,0.561,0.567
CLAW,0.495,0.511,0.549,0.52,0.488,0.472,0.500,0.524,0.482,0.516,0.535,0.574,0.504,0.534,0.506,0.511,0.5,0.494,0.528,0.549,0.551,0.524,0.483,0.562,0.514,0.516,0.541,0.528,0.535,0.495,0.537,0.57,0.567,0.531,0.544,0.562,0.578,0.573
FANG,0.514,0.449,0.492,0.518,0.476,0.513,0.476,0.500,0.513,0.538,0.515,0.54,0.522,0.52,0.496,0.53,0.517,0.566,0.489,0.538,0.517,0.487,0.505,0.564,0.541,0.517,0.522,0.544,0.537,0.557,0.555,0.582,0.537,0.527,0.546,0.543,0.549,0.577
Birdie,0.429,0.493,0.454,0.517,0.516,0.525,0.518,0.488,0.500,0.53,0.509,0.475,0.517,0.498,0.504,0.512,0.545,0.532,0.571,0.527,0.566,0.544,0.518,0.508,0.517,0.514,0.512,0.562,0.534,0.524,0.553,0.537,0.545,0.54,0.527,0.53,0.576,0.55
Karin,0.458,0.47,0.485,0.455,0.478,0.484,0.484,0.462,0.47,0.500,0.475,0.489,0.536,0.497,0.509,0.503,0.502,0.512,0.502,0.498,0.517,0.531,0.511,0.532,0.524,0.532,0.532,0.54,0.538,0.513,0.538,0.544,0.529,0.541,0.559,0.534,0.562,0.536
