E.Honda,0.500,0.526,0.513,0.535,0.602,0.521,0.597,0.55,0.527,0.617,0.531,0.537,0.518,0.57,0.518,0.541,0.509,0.536,0.564,0.52,0.543,0.575,0.563,0.585,0.571,0.588,0.538,0.554,0.598,0.563,0.577,0.589,0.635,0.577,0.634,0.566,0.552,0.621,0.586,0.579,0.611,0.607
Falke,0.474,0.500,0.492,0.46,0.47,0.475,0.481,0.54,0.491,0.457,0.477,0.536,0.513,0.505,0.517,0.506,0.525,0.546,0.545,0.619,0.584,0.543,0.529,0.525,0.536,0.555,0.56,0.547,0.546,0.55,0.547,0.525,0.526,0.563,0.568,0.578,0.556,0.569,0.534,0.576,0.61,0.583
Urien,0.488,0.508,0.500,0.497,0.516,0.49,0.536,0.52,0.477,0.553,0.529,0.527,0.528,0.505,0.511,0.525,0.549,0.517,0.519,0.545,0.519,0.556,0.536,0.531,0.56,0.533,0.528,0.537,0.58,0.552,0.571,0.55,0.564,0.557,0.577,0.544,0.548,0.562,0.553,0.562,0.572,0.612
DICTATOR,0.465,0.54,0.503,0.500,0.542,0.454,0.474,0.516,0.529,0.528,0.538,0.522,0.539,0.529,0.523,0.539,0.519,0.486,0.537,0.491,0.584,0.557,0.538,0.536,0.533,0.537,0.548,0.524,0.538,0.553,0.532,0.573,0.579,0.531,0.587,0.52,0.552,0.566,0.543,0.568,0.602,0.553
BOXER,0.398,0.53,0.484,0.458,0.500,0.522,0.505,0.484,0.484,0.553,0.542,0.506,0.494,0.538,0.53,0.518,0.493,0.492,0.545,0.479,0.553,0.559,0.567,0.544,0.565,0.557,0.536,0.546,0.55,0.532,0.549,0.561,0.569,0.544,0.555,0.541,0.549,0.571,0.558,0.567,0.603,0.538
CLAW,0.479,0.525,0.51,0.546,0.478,0.500,0.5,0.53,0.533,0.569,0.526,0.528,0.502,0.551,0.492,0.487,0.59,0.469,0.521,0.53,0.556,0.54,0.545,0.551,0.565,0.531,0.521,0.52,0.542,0.547,0.496,0.564,0.553,0.516,0.56,0.535,0.528,0.553,0.544,0.537,0.597,0.592
Blanka,0.403,0.519,0.464,0.526,0.495,0.501,0.500,0.486,0.471,0.558,0.51,0.522,0.478,0.509,0.492,0.523,0.496,0.484,0.513,0.546,0.543,0.541,0.5,0.523,0.561,0.549,0.539,0.518,0.539,0.538,0.55,0.561,0.578,0.551,0.554,0.546,0.547,0.542,0.53,0.565,0.623,0.557
Alex,0.45,0.46,0.48,0.484,0.516,0.47,0.514,0.500,0.496,0.537,0.526,0.51,0.468,0.517,0.537,0.508,0.514,0.484,0.517,0.522,0.555,0.561,0.52,0.529,0.531,0.548,0.528,0.515,0.559,0.546,0.541,0.554,0.592,0.546,0.559,0.541,0.534,0.554,0.527,0.532,0.609,0.55
FANG,0.473,0.509,0.523,0.471,0.516,0.467,0.529,0.504,0.500,0.503,0.521,0.515,0.507,0.515,0.531,0.588,0.496,0.504,0.469,0.512,0.529,0.539,0.525,0.529,0.519,0.585,0.525,0.502,0.507,0.531,0.536,0.536,0.534,0.575,0.586,0.563,0.526,0.508,0.533,0.542,0.55,0.594
Dhalsim,0.383,0.543,0.447,0.472,0.447,0.431,0.442,0.463,0.497,0.500,0.527,0.514,0.539,0.514,0.526,0.569,0.487,0.469,0.486,0.663,0.582,0.512,0.468,0.517,0.483,0.529,0.562,0.534,0.544,0.536,0.482,0.508,0.558,0.569,0.539,0.498,0.567,0.519,0.465,0.576,0.596,0.571
