E.Honda,0.500,0.514,0.517,0.531,0.582,0.592,0.609,0.529,0.534,0.495,0.56,0.54,0.521,0.539,0.575,0.511,0.517,0.59,0.557,0.554,0.576,0.527,0.576,0.594,0.592,0.574,0.538,0.58,0.564,0.603,0.535,0.612,0.561,0.563,0.579,0.634,0.565,0.62,0.572,0.618
Urien,0.486,0.500,0.489,0.497,0.548,0.515,0.539,0.528,0.526,0.551,0.525,0.529,0.516,0.495,0.57,0.533,0.553,0.564,0.549,0.545,0.537,0.526,0.522,0.555,0.53,0.533,0.553,0.572,0.549,0.549,0.542,0.588,0.554,0.574,0.567,0.572,0.567,0.572,0.578,0.574
CLAW,0.483,0.511,0.500,0.547,0.487,0.498,0.571,0.508,0.53,0.58,0.525,0.567,0.496,0.556,0.533,0.486,0.524,0.541,0.552,0.486,0.532,0.576,0.567,0.531,0.572,0.566,0.545,0.513,0.51,0.567,0.539,0.567,0.528,0.559,0.532,0.56,0.531,0.631,0.548,0.551
DICTATOR,0.469,0.503,0.453,0.500,0.475,0.528,0.546,0.531,0.528,0.497,0.554,0.517,0.526,0.541,0.517,0.533,0.477,0.563,0.534,0.484,0.534,0.595,0.547,0.538,0.539,0.552,0.565,0.541,0.519,0.563,0.539,0.576,0.524,0.554,0.519,0.557,0.561,0.627,0.563,0.556
Blanka,0.418,0.452,0.513,0.525,0.500,0.497,0.56,0.505,0.534,0.475,0.541,0.501,0.497,0.55,0.507,0.514,0.543,0.574,0.504,0.508,0.529,0.557,0.538,0.553,0.544,0.565,0.543,0.565,0.543,0.561,0.547,0.547,0.536,0.541,0.538,0.555,0.554,0.618,0.583,0.558
BOXER,0.409,0.485,0.502,0.472,0.503,0.500,0.529,0.485,0.488,0.471,0.564,0.493,0.526,0.485,0.535,0.503,0.467,0.543,0.565,0.498,0.537,0.563,0.561,0.545,0.545,0.551,0.57,0.553,0.53,0.544,0.542,0.565,0.551,0.54,0.53,0.571,0.569,0.589,0.562,0.6
Dhalsim,0.391,0.461,0.429,0.454,0.44,0.471,0.500,0.533,0.521,0.472,0.579,0.451,0.541,0.524,0.503,0.565,0.662,0.578,0.477,0.496,0.526,0.608,0.552,0.5,0.527,0.498,0.551,0.488,0.566,0.523,0.57,0.581,0.523,0.531,0.511,0.513,0.562,0.567,0.578,0.478
Edd,0.471,0.472,0.492,0.469,0.495,0.515,0.467,0.500,0.499,0.548,0.48,0.527,0.498,0.538,0.513,0.524,0.541,0.529,0.513,0.559,0.534,0.499,0.518,0.536,0.554,0.549,0.518,0.562,0.536,0.537,0.507,0.558,0.52,0.534,0.572,0.575,0.543,0.573,0.555,0.607
Birdie,0.466,0.474,0.47,0.472,0.466,0.512,0.479,0.501,0.500,0.447,0.501,0.505,0.504,0.525,0.528,0.523,0.548,0.553,0.551,0.504,0.57,0.535,0.511,0.525,0.51,0.537,0.522,0.572,0.536,0.558,0.535,0.578,0.51,0.552,0.557,0.546,0.533,0.584,0.554,0.536
Abigail,0.505,0.449,0.42,0.503,0.525,0.529,0.528,0.452,0.553,0.500,0.492,0.524,0.48,0.522,0.539,0.513,0.594,0.573,0.521,0.523,0.545,0.52,0.517,0.489,0.501,0.564,0.526,0.547,0.52,0.524,0.516,0.576,0.495,0.522,0.554,0.575,0.499,0.583,0.541,0.543
