DICTATOR,0.500,0.514,0.509,0.485,0.492,0.547,0.514,0.54,0.557,0.537,0.513,0.54,0.541,0.544,0.501,0.597,0.546,0.558,0.557,0.552,0.481,0.528,0.511,0.564,0.534,0.619,0.57,0.539,0.542,0.564,0.591,0.612,0.581,0.578,0.585
Urien,0.486,0.500,0.54,0.498,0.556,0.521,0.562,0.483,0.513,0.572,0.553,0.545,0.551,0.547,0.56,0.54,0.546,0.549,0.548,0.533,0.549,0.561,0.55,0.535,0.569,0.562,0.55,0.556,0.555,0.55,0.585,0.564,0.571,0.572,0.588
Dhalsim,0.491,0.46,0.500,0.442,0.44,0.461,0.518,0.524,0.572,0.527,0.501,0.539,0.486,0.533,0.657,0.575,0.501,0.566,0.529,0.5,0.494,0.477,0.533,0.548,0.601,0.634,0.582,0.456,0.547,0.57,0.533,0.561,0.582,0.533,0.555
CLAW,0.515,0.502,0.558,0.500,0.496,0.482,0.485,0.54,0.495,0.521,0.573,0.524,0.542,0.523,0.521,0.542,0.523,0.48,0.539,0.573,0.477,0.5,0.496,0.553,0.499,0.585,0.54,0.549,0.523,0.551,0.565,0.562,0.558,0.553,0.575
Blanka,0.508,0.444,0.56,0.504,0.500,0.488,0.486,0.509,0.475,0.488,0.46,0.504,0.51,0.535,0.522,0.521,0.508,0.516,0.548,0.541,0.514,0.515,0.508,0.533,0.529,0.555,0.554,0.529,0.536,0.559,0.55,0.597,0.56,0.557,0.563
BOXER,0.453,0.479,0.539,0.518,0.512,0.500,0.487,0.479,0.529,0.555,0.478,0.508,0.478,0.532,0.443,0.59,0.533,0.534,0.516,0.54,0.5,0.539,0.499,0.548,0.526,0.561,0.555,0.552,0.536,0.528,0.526,0.599,0.559,0.548,0.553
Birdie,0.486,0.438,0.482,0.515,0.514,0.513,0.500,0.488,0.497,0.524,0.466,0.504,0.482,0.538,0.555,0.517,0.532,0.52,0.53,0.554,0.517,0.536,0.512,0.526,0.53,0.529,0.549,0.499,0.52,0.53,0.538,0.526,0.539,0.557,0.571
FANG,0.46,0.517,0.476,0.46,0.492,0.521,0.512,0.500,0.514,0.488,0.519,0.498,0.506,0.561,0.491,0.508,0.5,0.523,0.546,0.536,0.493,0.505,0.545,0.555,0.553,0.555,0.538,0.525,0.529,0.529,0.549,0.534,0.553,0.522,0.55
Guile,0.443,0.487,0.428,0.505,0.525,0.471,0.503,0.486,0.500,0.515,0.513,0.52,0.473,0.475,0.5,0.522,0.474,0.526,0.466,0.512,0.496,0.512,0.515,0.516,0.503,0.587,0.54,0.547,0.548,0.534,0.512,0.51,0.545,0.537,0.525
G,0.463,0.428,0.473,0.479,0.512,0.445,0.476,0.512,0.485,0.500,0.45,0.49,0.482,0.514,0.552,0.526,0.534,0.508,0.512,0.52,0.496,0.517,0.482,0.508,0.512,0.505,0.543,0.511,0.524,0.532,0.554,0.543,0.54,0.558,0.551
Abigail,0.487,0.447,0.5,0.428,0.54,0.522,0.534,0.481,0.487,0.55,0.500,0.422,0.502,0.507,0.558,0.496,0.518,0.486,0.529,0.521,0.504,0.542,0.53,0.507,0.531,0.541,0.511,0.507,0.488,0.507,0.526,0.584,0.482,0.563,0.541
Edd,0.46,0.455,0.461,0.476,0.496,0.492,0.496,0.502,0.48,0.51,0.578,0.500,0.534,0.5,0.521,0.524,0.501,0.524,0.508,0.495,0.53,0.529,0.52,0.52,0.518,0.496,0.486,0.54,0.504,0.519,0.54,0.572,0.539,0.554,0.555
