DICTATOR,0.500,0.497,0.534,0.493,0.536,0.506,0.493,0.566,0.562,0.548,0.552,0.511,0.503,0.559,0.561,0.492,0.562,0.576,0.542,0.554,0.588,0.594,0.591,0.576,0.568,0.562,0.592,0.624,0.604,0.62
Urien,0.503,0.500,0.493,0.528,0.466,0.563,0.531,0.546,0.544,0.56,0.546,0.579,0.559,0.548,0.547,0.555,0.561,0.552,0.565,0.553,0.557,0.57,0.579,0.543,0.572,0.567,0.573,0.581,0.614,0.607
Guile,0.466,0.507,0.500,0.542,0.487,0.533,0.518,0.473,0.496,0.483,0.535,0.528,0.519,0.494,0.504,0.513,0.485,0.542,0.542,0.57,0.547,0.534,0.55,0.561,0.534,0.572,0.539,0.561,0.622,0.588
Abigail,0.507,0.472,0.458,0.500,0.525,0.553,0.481,0.541,0.578,0.518,0.482,0.605,0.546,0.528,0.555,0.538,0.559,0.535,0.58,0.522,0.527,0.545,0.552,0.528,0.56,0.519,0.611,0.562,0.615,0.542
FANG,0.464,0.534,0.513,0.475,0.500,0.517,0.463,0.514,0.527,0.519,0.497,0.485,0.535,0.497,0.537,0.496,0.543,0.538,0.544,0.539,0.55,0.542,0.556,0.528,0.569,0.542,0.524,0.519,0.563,0.597
Birdie,0.494,0.437,0.467,0.447,0.483,0.500,0.538,0.46,0.513,0.492,0.505,0.554,0.521,0.55,0.53,0.489,0.548,0.517,0.558,0.494,0.553,0.549,0.551,0.533,0.542,0.517,0.547,0.525,0.565,0.555
CLAW,0.507,0.469,0.482,0.519,0.537,0.462,0.500,0.583,0.464,0.521,0.507,0.52,0.478,0.502,0.504,0.466,0.533,0.544,0.488,0.515,0.533,0.552,0.563,0.528,0.507,0.519,0.533,0.585,0.595,0.578
Dhalsim,0.434,0.454,0.527,0.459,0.486,0.54,0.417,0.500,0.442,0.47,0.497,0.656,0.517,0.491,0.524,0.485,0.506,0.523,0.474,0.467,0.568,0.515,0.525,0.563,0.571,0.544,0.531,0.549,0.507,0.586
BOXER,0.438,0.456,0.504,0.422,0.473,0.487,0.536,0.558,0.500,0.481,0.504,0.44,0.498,0.531,0.519,0.479,0.533,0.55,0.533,0.543,0.541,0.538,0.547,0.526,0.529,0.531,0.547,0.575,0.574,0.586
Alex,0.452,0.44,0.517,0.482,0.481,0.508,0.479,0.53,0.519,0.500,0.477,0.516,0.505,0.525,0.517,0.496,0.514,0.517,0.511,0.503,0.526,0.524,0.53,0.532,0.52,0.52,0.541,0.591,0.569,0.537
Edd,0.448,0.454,0.465,0.518,0.503,0.495,0.493,0.503,0.496,0.523,0.500,0.517,0.512,0.507,0.499,0.515,0.512,0.506,0.535,0.522,0.487,0.518,0.505,0.507,0.519,0.509,0.542,0.577,0.546,0.556
Zangief,0.489,0.421,0.472,0.395,0.515,0.446,0.48,0.344,0.56,0.484,0.483,0.500,0.532,0.519,0.539,0.559,0.527,0.46,0.537,0.505,0.519,0.522,0.492,0.561,0.537,0.516,0.552,0.444,0.534,0.532
