Ibuki,0.439,0.478,0.454,0.472,0.472,0.496,0.513,0.481,0.492,0.497,0.476,0.500,0.49,0.505,0.487,0.533,0.515,0.516,0.512,0.534,0.526,0.524,0.511,0.528,0.511,0.515,0.527,0.533,0.526,0.545,0.607
Alex,0.45,0.448,0.441,0.466,0.489,0.533,0.514,0.497,0.516,0.472,0.499,0.51,0.500,0.493,0.512,0.514,0.515,0.514,0.487,0.497,0.504,0.52,0.503,0.514,0.53,0.528,0.542,0.581,0.515,0.524,0.614
R.Mika,0.494,0.457,0.495,0.463,0.49,0.505,0.488,0.478,0.517,0.47,0.47,0.495,0.507,0.500,0.471,0.521,0.486,0.51,0.492,0.488,0.515,0.504,0.496,0.53,0.523,0.533,0.515,0.541,0.526,0.53,0.597
Zangief,0.487,0.438,0.458,0.509,0.474,0.331,0.474,0.427,0.566,0.459,0.415,0.513,0.488,0.529,0.500,0.448,0.525,0.496,0.546,0.531,0.526,0.516,0.509,0.503,0.534,0.551,0.541,0.421,0.52,0.52,0.518
Nash,0.428,0.469,0.443,0.454,0.464,0.456,0.471,0.483,0.46,0.494,0.504,0.468,0.486,0.479,0.553,0.500,0.488,0.483,0.469,0.494,0.521,0.532,0.52,0.502,0.512,0.52,0.514,0.567,0.525,0.547,0.626
Karin,0.45,0.454,0.456,0.423,0.467,0.475,0.512,0.453,0.475,0.487,0.472,0.485,0.485,0.514,0.475,0.512,0.500,0.51,0.517,0.508,0.498,0.518,0.514,0.504,0.523,0.514,0.523,0.506,0.516,0.548,0.591
Necalli,0.446,0.447,0.469,0.497,0.463,0.515,0.501,0.451,0.477,0.488,0.501,0.484,0.486,0.49,0.504,0.517,0.49,0.500,0.497,0.484,0.509,0.511,0.505,0.511,0.511,0.512,0.522,0.517,0.519,0.529,0.603
Laura,0.514,0.447,0.501,0.49,0.505,0.507,0.488,0.495,0.516,0.459,0.485,0.488,0.513,0.509,0.454,0.531,0.483,0.503,0.500,0.506,0.493,0.479,0.473,0.514,0.517,0.482,0.494,0.54,0.515,0.481,0.58
Kolin,0.451,0.437,0.48,0.466,0.452,0.51,0.469,0.441,0.464,0.464,0.459,0.466,0.503,0.512,0.469,0.506,0.492,0.516,0.494,0.500,0.478,0.504,0.503,0.503,0.513,0.493,0.537,0.54,0.526,0.531,0.597
ChunLi,0.453,0.439,0.494,0.417,0.443,0.419,0.484,0.472,0.468,0.487,0.473,0.474,0.496,0.485,0.474,0.479,0.502,0.491,0.507,0.522,0.500,0.518,0.497,0.518,0.496,0.496,0.509,0.455,0.506,0.529,0.58
Ryu,0.426,0.455,0.45,0.439,0.455,0.425,0.459,0.456,0.467,0.517,0.493,0.476,0.48,0.496,0.484,0.468,0.482,0.489,0.521,0.496,0.482,0.500,0.52,0.503,0.502,0.505,0.504,0.484,0.519,0.539,0.592
Ken,0.445,0.455,0.464,0.45,0.461,0.454,0.444,0.477,0.483,0.494,0.514,0.489,0.497,0.504,0.491,0.48,0.486,0.495,0.527,0.497,0.503,0.48,0.500,0.506,0.509,0.501,0.501,0.509,0.525,0.522,0.57
Zeku,0.438,0.434,0.41,0.449,0.47,0.477,0.462,0.438,0.448,0.493,0.467,0.472,0.486,0.47,0.497,0.498,0.496,0.489,0.486,0.497,0.482,0.497,0.494,0.500,0.495,0.516,0.531,0.52,0.497,0.536,0.606
Juri,0.405,0.434,0.421,0.464,0.438,0.473,0.467,0.433,0.459,0.466,0.465,0.489,0.47,0.477,0.466,0.488,0.477,0.489,0.483,0.487,0.504,0.498,0.491,0.505,0.500,0.502,0.518,0.507,0.499,0.54,0.58
Akuma,0.426,0.456,0.461,0.466,0.439,0.434,0.449,0.464,0.481,0.484,0.498,0.485,0.472,0.467,0.449,0.48,0.486,0.488,0.518,0.507,0.505,0.495,0.499,0.484,0.498,0.500,0.49,0.503,0.505,0.532,0.568
Cammy,0.423,0.436,0.445,0.48,0.439,0.465,0.465,0.448,0.465,0.457,0.43,0.473,0.458,0.485,0.459,0.486,0.477,0.478,0.506,0.463,0.492,0.496,0.499,0.469,0.482,0.51,0.500,0.452,0.529,0.518,0.529
Menat,0.37,0.446,0.41,0.501,0.4,0.461,0.451,0.467,0.435,0.437,0.449,0.467,0.419,0.459,0.579,0.433,0.494,0.483,0.46,0.46,0.545,0.516,0.491,0.48,0.493,0.497,0.548,0.500,0.442,0.482,0.586
Rashid,0.438,0.456,0.441,0.478,0.429,0.517,0.424,0.491,0.447,0.443,0.498,0.474,0.485,0.474,0.48,0.475,0.484,0.481,0.485,0.474,0.494,0.481,0.475,0.503,0.501,0.495,0.471,0.558,0.500,0.494,0.586
Sakura,0.403,0.409,0.419,0.436,0.445,0.407,0.431,0.471,0.439,0.467,0.494,0.455,0.476,0.47,0.48,0.453,0.452,0.471,0.519,0.469,0.471,0.461,0.478,0.464,0.46,0.468,0.482,0.518,0.506,0.500,0.547
Falke,0.299,0.343,0.316,0.338,0.346,0.325,0.317,0.382,0.339,0.401,0.4,0.393,0.386,0.404,0.482,0.374,0.409,0.397,0.42,0.403,0.42,0.408,0.43,0.394,0.421,0.432,0.471,0.414,0.414,0.453,0.500
