DICTATOR,0.500,0.514,0.473,0.532,0.495,0.547,0.551,0.51,0.565,0.544,0.516,0.561,0.55,0.506,0.513,0.572,0.55,0.554,0.486,0.549,0.547,0.574,0.555,0.562,0.596,0.574,0.577,0.63,0.562,0.598,0.701
Urien,0.486,0.500,0.493,0.47,0.545,0.53,0.497,0.551,0.532,0.54,0.558,0.522,0.552,0.543,0.562,0.531,0.546,0.553,0.553,0.564,0.561,0.545,0.545,0.566,0.566,0.544,0.564,0.554,0.544,0.591,0.657
CLAW,0.527,0.507,0.500,0.549,0.506,0.578,0.505,0.499,0.502,0.515,0.579,0.546,0.559,0.505,0.542,0.557,0.544,0.531,0.499,0.52,0.506,0.55,0.536,0.59,0.579,0.539,0.555,0.59,0.559,0.581,0.684
Jam,0.468,0.53,0.451,0.500,0.484,0.511,0.518,0.527,0.525,0.498,0.529,0.528,0.534,0.537,0.491,0.546,0.577,0.503,0.51,0.534,0.583,0.561,0.55,0.551,0.536,0.534,0.521,0.499,0.522,0.564,0.662
Blanka,0.505,0.455,0.494,0.516,0.500,0.562,0.486,0.488,0.501,0.517,0.459,0.528,0.511,0.51,0.526,0.536,0.533,0.537,0.495,0.549,0.557,0.545,0.539,0.53,0.562,0.561,0.561,0.6,0.571,0.555,0.654
Dhalsim,0.453,0.47,0.422,0.489,0.438,0.500,0.567,0.522,0.461,0.512,0.501,0.504,0.467,0.495,0.669,0.544,0.525,0.485,0.493,0.49,0.581,0.575,0.546,0.523,0.527,0.566,0.535,0.539,0.483,0.593,0.675
Guile,0.449,0.503,0.495,0.482,0.514,0.433,0.500,0.52,0.487,0.531,0.549,0.487,0.486,0.512,0.526,0.529,0.488,0.499,0.512,0.531,0.516,0.541,0.556,0.538,0.533,0.551,0.535,0.549,0.576,0.569,0.683
Birdie,0.49,0.449,0.501,0.473,0.512,0.478,0.48,0.500,0.542,0.514,0.461,0.519,0.503,0.522,0.573,0.517,0.547,0.549,0.505,0.559,0.528,0.544,0.523,0.562,0.567,0.536,0.552,0.533,0.509,0.529,0.618
BOXER,0.435,0.468,0.498,0.475,0.499,0.539,0.513,0.458,0.500,0.504,0.451,0.508,0.484,0.484,0.434,0.54,0.525,0.523,0.484,0.536,0.532,0.533,0.517,0.552,0.541,0.519,0.535,0.565,0.553,0.561,0.661
Edd,0.456,0.46,0.485,0.502,0.483,0.488,0.469,0.486,0.496,0.500,0.555,0.503,0.528,0.53,0.541,0.506,0.513,0.512,0.541,0.536,0.513,0.483,0.506,0.507,0.534,0.516,0.543,0.563,0.557,0.533,0.599
Abigail,0.484,0.442,0.421,0.471,0.541,0.499,0.451,0.539,0.549,0.445,0.500,0.524,0.501,0.53,0.585,0.496,0.528,0.499,0.515,0.541,0.527,0.507,0.486,0.533,0.535,0.502,0.57,0.551,0.502,0.506,0.6
