E.Honda,0.500,0.5,0.488,0.534,0.591,0.611,0.585,0.517,0.525,0.485,0.577,0.519,0.517,0.596,0.548,0.496,0.527,0.572,0.52,0.55,0.56,0.614,0.581,0.589,0.564,0.568,0.555,0.569,0.572,0.621,0.596,0.555,0.604,0.566,0.569,0.603,0.572,0.574,0.669,0.604
Urien,0.5,0.500,0.455,0.504,0.536,0.544,0.534,0.489,0.55,0.541,0.524,0.508,0.535,0.564,0.543,0.551,0.548,0.567,0.53,0.549,0.542,0.535,0.551,0.528,0.555,0.555,0.558,0.554,0.564,0.598,0.559,0.558,0.555,0.549,0.572,0.565,0.564,0.576,0.572,0.566
FANG,0.513,0.545,0.500,0.472,0.494,0.521,0.532,0.494,0.518,0.502,0.525,0.522,0.544,0.547,0.547,0.524,0.511,0.537,0.493,0.553,0.516,0.517,0.572,0.554,0.608,0.54,0.578,0.56,0.538,0.585,0.561,0.55,0.58,0.541,0.558,0.525,0.576,0.554,0.565,0.533
DICTATOR,0.466,0.496,0.528,0.500,0.5,0.528,0.525,0.479,0.505,0.496,0.558,0.527,0.54,0.543,0.531,0.492,0.549,0.523,0.486,0.6,0.543,0.541,0.549,0.554,0.563,0.535,0.52,0.562,0.529,0.576,0.573,0.557,0.57,0.515,0.571,0.557,0.564,0.576,0.629,0.542
Blanka,0.409,0.464,0.506,0.5,0.500,0.564,0.502,0.518,0.513,0.462,0.57,0.5,0.529,0.561,0.502,0.537,0.53,0.52,0.508,0.546,0.509,0.547,0.553,0.52,0.53,0.537,0.549,0.55,0.537,0.561,0.576,0.562,0.532,0.534,0.557,0.566,0.583,0.561,0.638,0.552
Dhalsim,0.389,0.456,0.479,0.472,0.436,0.500,0.424,0.43,0.513,0.473,0.597,0.56,0.567,0.565,0.462,0.654,0.544,0.517,0.47,0.614,0.504,0.496,0.541,0.543,0.566,0.489,0.581,0.527,0.541,0.566,0.533,0.59,0.548,0.539,0.542,0.534,0.592,0.573,0.576,0.47
BOXER,0.416,0.466,0.468,0.475,0.498,0.576,0.500,0.511,0.468,0.466,0.565,0.538,0.517,0.536,0.505,0.475,0.506,0.546,0.487,0.545,0.566,0.544,0.546,0.568,0.562,0.562,0.536,0.556,0.547,0.552,0.544,0.548,0.562,0.532,0.546,0.574,0.554,0.57,0.595,0.596
CLAW,0.483,0.511,0.506,0.521,0.482,0.57,0.489,0.500,0.524,0.565,0.514,0.49,0.487,0.52,0.548,0.533,0.527,0.52,0.49,0.563,0.566,0.524,0.521,0.568,0.561,0.506,0.507,0.555,0.519,0.567,0.57,0.53,0.564,0.528,0.548,0.548,0.544,0.554,0.62,0.571
Birdie,0.475,0.45,0.482,0.496,0.487,0.487,0.532,0.476,0.500,0.459,0.497,0.508,0.527,0.564,0.511,0.553,0.505,0.522,0.525,0.52,0.566,0.545,0.554,0.507,0.525,0.568,0.52,0.566,0.521,0.585,0.588,0.543,0.524,0.534,0.54,0.568,0.542,0.524,0.582,0.546
Abigail,0.515,0.46,0.498,0.504,0.538,0.527,0.534,0.436,0.541,0.500,0.486,0.482,0.495,0.561,0.52,0.588,0.473,0.559,0.524,0.554,0.536,0.48,0.545,0.524,0.55,0.545,0.53,0.545,0.501,0.577,0.54,0.524,0.529,0.56,0.529,0.59,0.534,0.507,0.606,0.54
Falke,0.423,0.476,0.476,0.442,0.43,0.403,0.435,0.486,0.503,0.514,0.500,0.501,0.497,0.472,0.527,0.611,0.485,0.532,0.547,0.552,0.504,0.537,0.548,0.522,0.524,0.525,0.555,0.5,0.524,0.547,0.518,0.549,0.541,0.574,0.553,0.542,0.553,0.532,0.532,0.518
Guile,0.481,0.492,0.478,0.473,0.5,0.44,0.462,0.51,0.492,0.518,0.499,0.500,0.499,0.479,0.473,0.482,0.523,0.509,0.486,0.56,0.516,0.486,0.472,0.526,0.528,0.513,0.501,0.507,0.557,0.52,0.502,0.545,0.542,0.527,0.533,0.54,0.545,0.546,0.525,0.567
Cody,0.483,0.465,0.456,0.46,0.471,0.433,0.483,0.513,0.473,0.505,0.503,0.501,0.500,0.491,0.523,0.51,0.517,0.497,0.499,0.482,0.521,0.53,0.519,0.52,0.538,0.522,0.53,0.532,0.527,0.546,0.552,0.516,0.525,0.548,0.528,0.574,0.526,0.545,0.53,0.585
Poison,0.404,0.436,0.453,0.457,0.44,0.435,0.464,0.48,0.436,0.44,0.529,0.521,0.509,0.500,0.418,0.571,0.497,0.514,0.49,0.525,0.509,0.493,0.524,0.494,0.532,0.517,0.539,0.505,0.523,0.538,0.535,0.564,0.522,0.532,0.512,0.531,0.548,0.547,0.531,0.533
Alex,0.452,0.457,0.453,0.469,0.498,0.538,0.495,0.452,0.489,0.48,0.473,0.527,0.477,0.582,0.500,0.506,0.481,0.524,0.486,0.534,0.505,0.526,0.514,0.523,0.53,0.518,0.512,0.509,0.499,0.521,0.553,0.522,0.521,0.514,0.541,0.557,0.525,0.526,0.601,0.521
Zangief,0.504,0.449,0.476,0.508,0.463,0.346,0.525,0.467,0.447,0.413,0.389,0.518,0.49,0.429,0.494,0.500,0.501,0.48,0.557,0.447,0.489,0.504,0.531,0.459,0.487,0.534,0.531,0.539,0.516,0.55,0.523,0.526,0.524,0.573,0.553,0.555,0.56,0.525,0.458,0.567
Edd,0.473,0.452,0.489,0.451,0.47,0.456,0.494,0.473,0.495,0.527,0.515,0.477,0.483,0.503,0.519,0.499,0.500,0.483,0.525,0.495,0.485,0.517,0.52,0.503,0.496,0.564,0.523,0.521,0.501,0.56,0.523,0.49,0.549,0.547,0.52,0.562,0.531,0.544,0.556,0.579
G,0.428,0.433,0.463,0.477,0.48,0.483,0.454,0.48,0.478,0.441,0.468,0.491,0.503,0.486,0.476,0.52,0.517,0.500,0.488,0.489,0.52,0.522,0.509,0.499,0.5,0.512,0.517,0.524,0.517,0.536,0.539,0.536,0.522,0.514,0.524,0.553,0.535,0.547,0.546,0.535
Laura,0.48,0.47,0.507,0.514,0.492,0.53,0.513,0.51,0.476,0.476,0.453,0.514,0.501,0.51,0.514,0.443,0.475,0.512,0.500,0.495,0.506,0.513,0.514,0.542,0.526,0.535,0.527,0.51,0.489,0.493,0.523,0.501,0.511,0.514,0.505,0.532,0.51,0.5,0.586,0.561
