DICTATOR,0.500,0.488,0.533,0.503,0.535,0.558,0.559,0.556,0.547,0.49,0.553,0.562,0.57,0.514,0.552,0.528,0.597,0.557,0.587,0.578,0.579,0.609,0.587,0.58,0.625
CLAW,0.512,0.500,0.529,0.511,0.53,0.502,0.574,0.507,0.518,0.479,0.566,0.516,0.543,0.534,0.536,0.554,0.571,0.519,0.528,0.54,0.544,0.561,0.554,0.555,0.59
Urien,0.467,0.471,0.500,0.547,0.455,0.514,0.534,0.499,0.503,0.496,0.537,0.519,0.537,0.526,0.52,0.566,0.535,0.545,0.568,0.543,0.554,0.554,0.564,0.568,0.574
Birdie,0.497,0.489,0.453,0.500,0.483,0.529,0.477,0.487,0.54,0.505,0.51,0.55,0.557,0.54,0.49,0.581,0.524,0.547,0.554,0.554,0.534,0.561,0.549,0.539,0.579
FANG,0.465,0.47,0.545,0.517,0.500,0.496,0.489,0.535,0.501,0.467,0.541,0.517,0.552,0.522,0.504,0.519,0.562,0.537,0.531,0.539,0.552,0.577,0.548,0.572,0.558
BOXER,0.442,0.498,0.486,0.471,0.504,0.500,0.546,0.517,0.503,0.463,0.502,0.534,0.543,0.499,0.541,0.483,0.564,0.553,0.554,0.543,0.547,0.568,0.556,0.553,0.587
Dhalsim,0.441,0.426,0.466,0.523,0.511,0.454,0.500,0.557,0.477,0.477,0.466,0.486,0.53,0.501,0.464,0.68,0.551,0.482,0.522,0.551,0.543,0.577,0.53,0.565,0.541
Guile,0.444,0.493,0.501,0.513,0.465,0.483,0.444,0.500,0.472,0.488,0.475,0.473,0.473,0.496,0.544,0.532,0.533,0.536,0.519,0.553,0.568,0.554,0.569,0.547,0.512
Ibuki,0.453,0.482,0.497,0.46,0.499,0.497,0.523,0.528,0.500,0.506,0.508,0.537,0.531,0.53,0.5,0.506,0.546,0.548,0.542,0.524,0.534,0.541,0.536,0.553,0.55
Laura,0.51,0.521,0.504,0.495,0.533,0.537,0.523,0.512,0.494,0.500,0.53,0.504,0.514,0.547,0.528,0.475,0.574,0.549,0.536,0.501,0.518,0.513,0.523,0.537,0.54
Alex,0.447,0.434,0.463,0.49,0.459,0.498,0.534,0.525,0.492,0.47,0.500,0.514,0.509,0.494,0.488,0.52,0.532,0.502,0.528,0.522,0.533,0.538,0.501,0.52,0.552
Necalli,0.438,0.484,0.481,0.45,0.483,0.466,0.514,0.527,0.463,0.496,0.486,0.500,0.507,0.486,0.502,0.513,0.537,0.501,0.509,0.525,0.523,0.53,0.531,0.527,0.532
Karin,0.43,0.457,0.463,0.443,0.448,0.457,0.47,0.527,0.469,0.486,0.492,0.493,0.500,0.511,0.49,0.484,0.526,0.5,0.526,0.514,0.522,0.533,0.524,0.505,0.529
R.Mika,0.486,0.466,0.474,0.46,0.478,0.501,0.499,0.504,0.47,0.453,0.506,0.514,0.489,0.500,0.488,0.478,0.521,0.491,0.525,0.534,0.511,0.516,0.5,0.519,0.52
Rashid,0.448,0.464,0.48,0.51,0.496,0.459,0.536,0.456,0.5,0.472,0.512,0.498,0.51,0.512,0.500,0.526,0.524,0.508,0.51,0.506,0.498,0.497,0.495,0.538,0.545
Zangief,0.472,0.446,0.434,0.419,0.481,0.517,0.32,0.468,0.494,0.525,0.48,0.488,0.516,0.522,0.474,0.500,0.446,0.519,0.54,0.542,0.509,0.519,0.498,0.52,0.527
Nash,0.403,0.429,0.465,0.476,0.438,0.436,0.449,0.467,0.454,0.426,0.468,0.463,0.474,0.479,0.476,0.554,0.500,0.48,0.502,0.51,0.525,0.539,0.517,0.519,0.507
Kolin,0.443,0.481,0.455,0.453,0.463,0.447,0.518,0.464,0.452,0.452,0.498,0.499,0.5,0.509,0.492,0.481,0.52,0.500,0.538,0.489,0.52,0.509,0.49,0.52,0.526
Cammy,0.413,0.472,0.432,0.446,0.469,0.446,0.478,0.481,0.458,0.464,0.472,0.491,0.474,0.475,0.49,0.46,0.498,0.462,0.500,0.511,0.51,0.514,0.483,0.515,0.499
Akuma,0.422,0.46,0.457,0.446,0.461,0.457,0.449,0.447,0.476,0.499,0.478,0.476,0.486,0.466,0.494,0.458,0.49,0.511,0.489,0.500,0.508,0.5,0.502,0.516,0.495
Ken,0.421,0.456,0.446,0.466,0.448,0.453,0.457,0.432,0.466,0.482,0.467,0.477,0.478,0.489,0.502,0.491,0.475,0.48,0.49,0.492,0.500,0.486,0.507,0.517,0.507
Ryu,0.391,0.439,0.446,0.44,0.423,0.432,0.423,0.446,0.459,0.487,0.462,0.47,0.467,0.484,0.503,0.481,0.461,0.491,0.486,0.5,0.514,0.500,0.524,0.501,0.495
Edd,0.413,0.446,0.436,0.451,0.452,0.444,0.47,0.431,0.464,0.477,0.499,0.469,0.476,0.5,0.505,0.502,0.483,0.51,0.517,0.498,0.493,0.476,0.500,0.504,0.516
ChunLi,0.421,0.445,0.432,0.461,0.428,0.447,0.435,0.453,0.448,0.463,0.48,0.473,0.495,0.481,0.462,0.48,0.481,0.48,0.485,0.484,0.484,0.499,0.496,0.500,0.489
Juri,0.376,0.41,0.426,0.421,0.442,0.413,0.459,0.488,0.45,0.46,0.448,0.468,0.471,0.48,0.455,0.473,0.493,0.474,0.501,0.505,0.493,0.505,0.484,0.511,0.500
