Urien,0.500,0.496,0.536,0.516,0.485,0.556,0.522,0.569,0.558,0.555,0.547,0.527,0.539,0.575,0.548,0.558,0.575,0.55,0.556,0.541,0.556,0.563,0.57,0.537,0.572,0.558,0.543,0.552,0.577,0.554,0.556,0.576,0.592,0.561,0.582
DICTATOR,0.504,0.500,0.522,0.463,0.536,0.487,0.543,0.508,0.533,0.513,0.533,0.559,0.551,0.535,0.589,0.553,0.484,0.558,0.508,0.555,0.534,0.485,0.542,0.561,0.529,0.62,0.544,0.562,0.586,0.544,0.573,0.576,0.632,0.579,0.58
Dhalsim,0.464,0.478,0.500,0.445,0.524,0.438,0.467,0.527,0.475,0.504,0.536,0.57,0.519,0.549,0.596,0.558,0.675,0.511,0.52,0.49,0.49,0.49,0.479,0.544,0.606,0.625,0.471,0.576,0.521,0.565,0.59,0.58,0.527,0.53,0.537
CLAW,0.484,0.537,0.555,0.500,0.524,0.5,0.475,0.48,0.538,0.596,0.508,0.525,0.521,0.512,0.541,0.484,0.53,0.544,0.506,0.569,0.514,0.496,0.523,0.543,0.495,0.586,0.54,0.545,0.57,0.533,0.547,0.547,0.587,0.556,0.575
Jam,0.515,0.464,0.476,0.476,0.500,0.497,0.531,0.507,0.509,0.515,0.509,0.527,0.562,0.518,0.532,0.512,0.498,0.543,0.545,0.545,0.521,0.507,0.53,0.547,0.549,0.564,0.53,0.537,0.541,0.532,0.553,0.565,0.548,0.525,0.56
Blanka,0.444,0.513,0.562,0.5,0.503,0.500,0.484,0.491,0.484,0.478,0.506,0.48,0.514,0.501,0.527,0.523,0.512,0.536,0.518,0.533,0.504,0.512,0.532,0.54,0.543,0.565,0.536,0.554,0.552,0.533,0.56,0.549,0.628,0.558,0.58
BOXER,0.478,0.457,0.533,0.525,0.469,0.517,0.500,0.504,0.496,0.487,0.495,0.532,0.533,0.568,0.58,0.523,0.44,0.527,0.483,0.55,0.529,0.482,0.534,0.54,0.523,0.559,0.55,0.528,0.549,0.535,0.557,0.553,0.591,0.538,0.561
Birdie,0.431,0.492,0.473,0.52,0.493,0.509,0.496,0.500,0.478,0.457,0.508,0.497,0.534,0.517,0.505,0.518,0.552,0.516,0.501,0.547,0.544,0.496,0.532,0.514,0.517,0.521,0.5,0.523,0.525,0.508,0.546,0.516,0.497,0.551,0.555
Alex,0.442,0.467,0.525,0.462,0.491,0.516,0.504,0.522,0.500,0.515,0.468,0.533,0.517,0.525,0.491,0.496,0.509,0.513,0.508,0.498,0.497,0.477,0.514,0.518,0.522,0.532,0.503,0.523,0.554,0.511,0.525,0.508,0.591,0.548,0.554
Abigail,0.445,0.487,0.496,0.404,0.485,0.522,0.513,0.543,0.485,0.500,0.427,0.488,0.517,0.543,0.503,0.502,0.559,0.533,0.52,0.526,0.52,0.505,0.499,0.526,0.534,0.546,0.495,0.516,0.515,0.486,0.525,0.48,0.571,0.575,0.555
