E.Honda,0.500,0.518,0.53,0.602,0.603,0.514,0.521,0.545,0.545,0.62,0.567,0.492,0.519,0.533,0.536,0.516,0.54,0.535,0.579,0.545,0.571,0.586,0.614,0.594,0.569,0.545,0.602,0.593,0.56,0.588,0.603,0.574,0.571,0.635,0.591,0.562,0.575,0.644,0.643,0.61,0.676
Urien,0.482,0.500,0.503,0.511,0.532,0.501,0.526,0.543,0.528,0.542,0.527,0.555,0.504,0.54,0.498,0.556,0.534,0.533,0.521,0.553,0.569,0.544,0.564,0.529,0.563,0.542,0.54,0.55,0.55,0.567,0.563,0.544,0.573,0.595,0.561,0.561,0.578,0.573,0.578,0.576,0.642
DICTATOR,0.47,0.497,0.500,0.528,0.478,0.465,0.542,0.513,0.512,0.537,0.536,0.504,0.534,0.533,0.548,0.484,0.481,0.588,0.547,0.562,0.534,0.544,0.579,0.525,0.545,0.548,0.547,0.55,0.528,0.549,0.569,0.533,0.559,0.593,0.517,0.558,0.574,0.573,0.647,0.565,0.621
BOXER,0.398,0.489,0.472,0.500,0.514,0.527,0.5,0.476,0.491,0.551,0.552,0.484,0.518,0.515,0.493,0.46,0.502,0.549,0.559,0.556,0.567,0.547,0.559,0.545,0.576,0.55,0.549,0.55,0.545,0.573,0.564,0.543,0.555,0.584,0.545,0.563,0.575,0.581,0.621,0.606,0.618
Blanka,0.397,0.468,0.522,0.486,0.500,0.519,0.521,0.529,0.509,0.538,0.533,0.467,0.483,0.518,0.549,0.556,0.491,0.553,0.523,0.512,0.537,0.52,0.585,0.563,0.529,0.554,0.552,0.581,0.525,0.556,0.564,0.557,0.55,0.554,0.561,0.567,0.564,0.563,0.633,0.554,0.62
CLAW,0.486,0.499,0.535,0.473,0.481,0.500,0.506,0.541,0.55,0.581,0.514,0.575,0.489,0.484,0.547,0.528,0.487,0.565,0.543,0.535,0.538,0.525,0.543,0.53,0.568,0.528,0.56,0.551,0.516,0.521,0.566,0.516,0.55,0.583,0.554,0.529,0.539,0.541,0.611,0.543,0.633
Edd,0.479,0.474,0.458,0.5,0.479,0.494,0.500,0.51,0.52,0.494,0.516,0.554,0.493,0.512,0.529,0.539,0.545,0.507,0.508,0.532,0.516,0.531,0.534,0.533,0.526,0.508,0.559,0.566,0.512,0.564,0.549,0.557,0.552,0.586,0.578,0.542,0.548,0.588,0.588,0.605,0.623
Birdie,0.455,0.457,0.487,0.524,0.471,0.459,0.49,0.500,0.504,0.485,0.506,0.463,0.495,0.524,0.499,0.553,0.507,0.518,0.506,0.526,0.538,0.561,0.574,0.531,0.534,0.534,0.515,0.52,0.509,0.596,0.565,0.558,0.551,0.59,0.537,0.541,0.544,0.536,0.541,0.533,0.634
Alex,0.455,0.472,0.488,0.509,0.491,0.45,0.48,0.496,0.500,0.561,0.488,0.5,0.526,0.49,0.486,0.52,0.485,0.545,0.516,0.531,0.543,0.537,0.576,0.541,0.523,0.53,0.547,0.539,0.513,0.541,0.561,0.534,0.534,0.563,0.539,0.535,0.539,0.554,0.59,0.513,0.613
Dhalsim,0.38,0.458,0.463,0.449,0.462,0.42,0.506,0.515,0.439,0.500,0.562,0.47,0.528,0.553,0.524,0.647,0.484,0.588,0.528,0.553,0.524,0.53,0.557,0.486,0.485,0.554,0.532,0.504,0.525,0.497,0.495,0.589,0.532,0.559,0.524,0.569,0.565,0.519,0.551,0.487,0.615
