Urien,0.500,0.504,0.554,0.53,0.555,0.511,0.557,0.511,0.563,0.551,0.549,0.496,0.55,0.54,0.527,0.552,0.553,0.559,0.588,0.539,0.559,0.566,0.576,0.549,0.564,0.577,0.559,0.556,0.562,0.548,0.54,0.561,0.564,0.593,0.642
DICTATOR,0.496,0.500,0.535,0.487,0.504,0.541,0.497,0.55,0.542,0.496,0.538,0.548,0.521,0.548,0.56,0.522,0.608,0.553,0.555,0.555,0.553,0.512,0.575,0.484,0.611,0.59,0.571,0.545,0.619,0.567,0.549,0.545,0.579,0.588,0.638
Dhalsim,0.446,0.465,0.500,0.434,0.528,0.459,0.439,0.561,0.482,0.667,0.511,0.501,0.499,0.519,0.542,0.478,0.602,0.501,0.528,0.5,0.495,0.513,0.58,0.496,0.609,0.524,0.567,0.545,0.542,0.563,0.472,0.613,0.529,0.572,0.62
CLAW,0.47,0.513,0.566,0.500,0.478,0.474,0.488,0.499,0.539,0.526,0.502,0.524,0.578,0.519,0.546,0.505,0.564,0.557,0.528,0.545,0.507,0.508,0.513,0.478,0.582,0.562,0.54,0.521,0.563,0.543,0.534,0.506,0.552,0.559,0.641
Birdie,0.445,0.496,0.472,0.522,0.500,0.521,0.514,0.499,0.497,0.548,0.506,0.528,0.479,0.548,0.508,0.559,0.519,0.555,0.544,0.533,0.53,0.522,0.555,0.503,0.539,0.542,0.552,0.522,0.531,0.548,0.51,0.541,0.555,0.537,0.641
BOXER,0.489,0.459,0.541,0.526,0.479,0.500,0.505,0.518,0.501,0.442,0.507,0.487,0.483,0.539,0.547,0.543,0.601,0.546,0.559,0.529,0.537,0.504,0.544,0.491,0.567,0.544,0.562,0.533,0.57,0.533,0.572,0.546,0.553,0.566,0.619
Blanka,0.443,0.503,0.561,0.512,0.486,0.495,0.500,0.483,0.496,0.517,0.51,0.528,0.46,0.522,0.517,0.521,0.533,0.518,0.51,0.539,0.521,0.511,0.533,0.496,0.569,0.546,0.551,0.534,0.573,0.557,0.55,0.539,0.548,0.557,0.612
Guile,0.489,0.45,0.439,0.501,0.501,0.482,0.517,0.500,0.483,0.502,0.526,0.491,0.526,0.478,0.516,0.516,0.55,0.519,0.531,0.489,0.488,0.518,0.535,0.505,0.596,0.52,0.548,0.559,0.522,0.545,0.574,0.523,0.546,0.568,0.608
Alex,0.437,0.458,0.518,0.461,0.503,0.499,0.504,0.517,0.500,0.504,0.467,0.484,0.512,0.511,0.516,0.495,0.513,0.496,0.532,0.507,0.507,0.516,0.512,0.494,0.558,0.536,0.533,0.511,0.599,0.533,0.503,0.525,0.549,0.517,0.616
Zangief,0.449,0.504,0.333,0.474,0.452,0.558,0.483,0.498,0.496,0.500,0.475,0.531,0.438,0.53,0.462,0.528,0.431,0.5,0.466,0.52,0.506,0.546,0.509,0.559,0.469,0.529,0.531,0.521,0.431,0.557,0.542,0.544,0.558,0.53,0.631
Edd,0.451,0.462,0.489,0.498,0.494,0.493,0.49,0.474,0.533,0.525,0.500,0.518,0.571,0.504,0.52,0.531,0.511,0.507,0.53,0.526,0.52,0.517,0.522,0.532,0.512,0.539,0.504,0.504,0.575,0.513,0.555,0.535,0.561,0.536,0.594
FANG,0.504,0.452,0.499,0.476,0.472,0.513,0.472,0.509,0.516,0.469,0.482,0.500,0.521,0.541,0.524,0.511,0.536,0.515,0.504,0.529,0.482,0.53,0.555,0.488,0.54,0.52,0.529,0.511,0.501,0.504,0.522,0.56,0.518,0.541,0.605
Abigail,0.45,0.479,0.501,0.422,0.521,0.517,0.54,0.474,0.488,0.562,0.429,0.479,0.500,0.518,0.505,0.526,0.486,0.521,0.545,0.535,0.497,0.543,0.509,0.525,0.551,0.53,0.514,0.491,0.522,0.509,0.516,0.533,0.575,0.485,0.586
Karin,0.46,0.452,0.481,0.481,0.452,0.461,0.478,0.522,0.489,0.47,0.496,0.459,0.482,0.500,0.521,0.498,0.51,0.508,0.491,0.481,0.516,0.515,0.511,0.508,0.532,0.52,0.53,0.516,0.517,0.527,0.525,0.52,0.524,0.553,0.593
Nash,0.473,0.44,0.458,0.454,0.492,0.453,0.483,0.484,0.484,0.538,0.48,0.476,0.495,0.479,0.500,0.494,0.538,0.491,0.506,0.482,0.479,0.488,0.509,0.47,0.542,0.513,0.532,0.524,0.551,0.522,0.504,0.531,0.511,0.546,0.578
Kolin,0.448,0.478,0.522,0.495,0.441,0.457,0.479,0.484,0.505,0.472,0.469,0.489,0.474,0.502,0.506,0.500,0.522,0.518,0.505,0.481,0.515,0.521,0.512,0.488,0.514,0.508,0.512,0.514,0.521,0.5,0.519,0.496,0.536,0.536,0.6
Falke,0.447,0.392,0.398,0.436,0.481,0.399,0.467,0.45,0.487,0.569,0.489,0.464,0.514,0.49,0.462,0.478,0.500,0.495,0.466,0.51,0.498,0.487,0.514,0.517,0.526,0.513,0.525,0.508,0.542,0.515,0.492,0.523,0.557,0.542,0.594
Zeku,0.441,0.447,0.499,0.443,0.445,0.454,0.482,0.481,0.505,0.5,0.493,0.485,0.479,0.492,0.509,0.482,0.505,0.500,0.494,0.496,0.495,0.48,0.484,0.483,0.516,0.496,0.52,0.514,0.531,0.525,0.5,0.497,0.556,0.541,0.604
G,0.413,0.445,0.472,0.472,0.456,0.441,0.49,0.469,0.468,0.534,0.47,0.496,0.456,0.509,0.494,0.495,0.534,0.506,0.500,0.495,0.541,0.475,0.487,0.483,0.497,0.519,0.533,0.523,0.508,0.517,0.506,0.52,0.544,0.522,0.596
Ibuki,0.461,0.445,0.5,0.455,0.467,0.471,0.461,0.511,0.493,0.48,0.474,0.471,0.465,0.519,0.518,0.519,0.49,0.504,0.505,0.500,0.502,0.505,0.504,0.509,0.53,0.509,0.514,0.517,0.538,0.506,0.497,0.521,0.521,0.545,0.568
Necalli,0.441,0.447,0.505,0.493,0.47,0.463,0.479,0.513,0.493,0.494,0.48,0.518,0.503,0.484,0.521,0.485,0.502,0.505,0.459,0.498,0.500,0.508,0.498,0.491,0.515,0.499,0.513,0.511,0.52,0.515,0.526,0.532,0.532,0.516,0.575
R.Mika,0.434,0.488,0.487,0.492,0.478,0.496,0.489,0.482,0.484,0.454,0.483,0.47,0.457,0.485,0.513,0.479,0.513,0.52,0.525,0.495,0.492,0.500,0.5,0.482,0.509,0.519,0.507,0.497,0.514,0.525,0.524,0.527,0.514,0.541,0.573
Cody,0.424,0.425,0.421,0.487,0.445,0.456,0.468,0.465,0.488,0.492,0.478,0.445,0.491,0.489,0.491,0.488,0.486,0.516,0.513,0.496,0.502,0.5,0.500,0.483,0.499,0.516,0.504,0.53,0.509,0.502,0.541,0.52,0.555,0.554,0.587
Laura,0.452,0.516,0.504,0.522,0.497,0.509,0.504,0.495,0.506,0.441,0.468,0.512,0.475,0.492,0.53,0.512,0.483,0.517,0.517,0.491,0.509,0.518,0.517,0.500,0.495,0.503,0.487,0.478,0.542,0.484,0.524,0.529,0.51,0.502,0.567
Sagat,0.436,0.389,0.391,0.418,0.461,0.433,0.432,0.404,0.442,0.531,0.488,0.46,0.449,0.468,0.458,0.486,0.474,0.484,0.503,0.47,0.485,0.491,0.501,0.505,0.500,0.512,0.512,0.526,0.466,0.5,0.503,0.515,0.548,0.537,0.583
