DICTATOR,0.500,0.512,0.514,0.484,0.545,0.484,0.558,0.506,0.558,0.505,0.539,0.535,0.561,0.557,0.503,0.545,0.572,0.56,0.514,0.539,0.541,0.492,0.528,0.573,0.549,0.587,0.627,0.579,0.577,0.592,0.621,0.58,0.562,0.638
Urien,0.488,0.500,0.457,0.55,0.535,0.512,0.508,0.556,0.516,0.546,0.549,0.538,0.543,0.551,0.57,0.549,0.539,0.539,0.545,0.568,0.551,0.546,0.537,0.547,0.549,0.558,0.561,0.593,0.542,0.582,0.57,0.564,0.576,0.584
Jam,0.486,0.543,0.500,0.476,0.512,0.488,0.517,0.518,0.549,0.527,0.521,0.487,0.526,0.497,0.502,0.537,0.549,0.564,0.542,0.545,0.565,0.512,0.526,0.558,0.524,0.547,0.588,0.572,0.529,0.584,0.517,0.542,0.56,0.586
Blanka,0.516,0.45,0.525,0.500,0.572,0.51,0.48,0.498,0.507,0.449,0.501,0.508,0.542,0.529,0.519,0.539,0.54,0.538,0.514,0.534,0.549,0.497,0.538,0.548,0.545,0.564,0.554,0.553,0.563,0.557,0.598,0.557,0.552,0.58
Dhalsim,0.455,0.465,0.488,0.428,0.500,0.43,0.561,0.538,0.46,0.503,0.461,0.514,0.495,0.476,0.676,0.491,0.543,0.537,0.505,0.482,0.584,0.484,0.459,0.574,0.541,0.518,0.588,0.558,0.572,0.564,0.549,0.517,0.572,0.616
CLAW,0.516,0.488,0.512,0.49,0.57,0.500,0.498,0.482,0.486,0.567,0.532,0.514,0.53,0.503,0.521,0.559,0.553,0.541,0.517,0.512,0.498,0.469,0.524,0.538,0.52,0.567,0.57,0.563,0.537,0.525,0.595,0.545,0.56,0.604
Guile,0.442,0.492,0.483,0.52,0.439,0.502,0.500,0.514,0.482,0.545,0.483,0.518,0.483,0.483,0.518,0.513,0.52,0.483,0.514,0.522,0.509,0.508,0.556,0.54,0.549,0.515,0.573,0.551,0.549,0.549,0.533,0.538,0.558,0.61
Birdie,0.494,0.444,0.482,0.502,0.462,0.518,0.486,0.500,0.524,0.454,0.495,0.508,0.536,0.534,0.564,0.548,0.513,0.552,0.523,0.564,0.537,0.514,0.497,0.549,0.515,0.55,0.532,0.547,0.532,0.567,0.536,0.55,0.512,0.543
BOXER,0.442,0.484,0.451,0.493,0.54,0.514,0.518,0.476,0.500,0.457,0.481,0.502,0.518,0.532,0.452,0.529,0.55,0.535,0.493,0.549,0.533,0.495,0.555,0.538,0.534,0.54,0.595,0.562,0.528,0.547,0.585,0.536,0.55,0.584
Abigail,0.495,0.454,0.473,0.551,0.497,0.433,0.455,0.546,0.543,0.500,0.507,0.454,0.527,0.513,0.592,0.526,0.502,0.535,0.537,0.539,0.54,0.528,0.498,0.513,0.493,0.534,0.506,0.567,0.513,0.558,0.574,0.585,0.514,0.577
Alex,0.461,0.451,0.479,0.499,0.539,0.468,0.517,0.505,0.519,0.493,0.500,0.472,0.504,0.507,0.515,0.495,0.514,0.527,0.512,0.5,0.506,0.49,0.49,0.517,0.508,0.533,0.515,0.551,0.524,0.527,0.582,0.532,0.504,0.573
Edd,0.465,0.462,0.513,0.492,0.486,0.486,0.482,0.492,0.498,0.546,0.528,0.500,0.503,0.509,0.514,0.507,0.501,0.521,0.528,0.54,0.517,0.539,0.534,0.489,0.5,0.523,0.522,0.529,0.514,0.532,0.557,0.542,0.533,0.524
Ibuki,0.439,0.457,0.474,0.458,0.505,0.47,0.517,0.464,0.482,0.473,0.496,0.497,0.500,0.493,0.481,0.512,0.537,0.517,0.505,0.534,0.519,0.523,0.496,0.517,0.513,0.504,0.516,0.515,0.508,0.509,0.518,0.527,0.54,0.553
