R.Mika,0.492,0.453,0.481,0.482,0.48,0.494,0.443,0.482,0.459,0.487,0.484,0.48,0.491,0.453,0.487,0.491,0.512,0.519,0.481,0.500,0.492,0.493,0.51,0.491,0.516,0.52,0.501,0.518,0.52,0.505,0.548,0.524,0.575,0.548
Laura,0.511,0.452,0.515,0.51,0.491,0.5,0.481,0.519,0.456,0.496,0.505,0.462,0.485,0.445,0.508,0.494,0.528,0.536,0.496,0.509,0.500,0.481,0.509,0.477,0.504,0.489,0.537,0.506,0.53,0.498,0.547,0.494,0.569,0.56
Ryu,0.425,0.45,0.463,0.431,0.458,0.46,0.453,0.468,0.483,0.455,0.477,0.509,0.486,0.471,0.492,0.482,0.493,0.474,0.493,0.507,0.519,0.500,0.492,0.518,0.51,0.507,0.523,0.505,0.518,0.51,0.505,0.534,0.533,0.551
ChunLi,0.456,0.442,0.491,0.422,0.476,0.456,0.442,0.46,0.468,0.468,0.482,0.468,0.472,0.465,0.476,0.508,0.497,0.489,0.51,0.49,0.491,0.508,0.500,0.484,0.485,0.491,0.492,0.512,0.508,0.494,0.479,0.528,0.542,0.565
Ken,0.454,0.45,0.474,0.462,0.449,0.464,0.473,0.472,0.503,0.488,0.484,0.493,0.485,0.48,0.493,0.496,0.492,0.491,0.497,0.509,0.523,0.482,0.516,0.500,0.509,0.5,0.524,0.509,0.495,0.51,0.515,0.524,0.536,0.521
Juri,0.404,0.435,0.429,0.473,0.478,0.444,0.449,0.454,0.471,0.453,0.448,0.463,0.484,0.459,0.495,0.474,0.499,0.491,0.496,0.484,0.496,0.49,0.515,0.491,0.500,0.504,0.503,0.523,0.505,0.513,0.52,0.518,0.527,0.561
Akuma,0.431,0.451,0.452,0.433,0.451,0.461,0.476,0.442,0.487,0.464,0.474,0.483,0.492,0.439,0.486,0.482,0.481,0.489,0.499,0.48,0.511,0.493,0.509,0.5,0.496,0.500,0.504,0.508,0.521,0.495,0.511,0.519,0.538,0.548
Rashid,0.452,0.447,0.467,0.535,0.42,0.412,0.48,0.462,0.489,0.497,0.493,0.451,0.487,0.484,0.47,0.487,0.486,0.503,0.495,0.5,0.463,0.477,0.508,0.476,0.497,0.496,0.500,0.498,0.484,0.486,0.562,0.497,0.542,0.556
Falke,0.37,0.412,0.387,0.393,0.42,0.384,0.413,0.44,0.497,0.476,0.456,0.46,0.463,0.553,0.485,0.491,0.469,0.45,0.47,0.482,0.494,0.495,0.488,0.492,0.477,0.492,0.502,0.500,0.511,0.526,0.494,0.511,0.528,0.566
Cody,0.403,0.407,0.455,0.416,0.441,0.442,0.417,0.46,0.449,0.432,0.468,0.457,0.481,0.469,0.487,0.476,0.471,0.484,0.482,0.48,0.47,0.482,0.492,0.505,0.495,0.48,0.516,0.489,0.500,0.509,0.494,0.512,0.532,0.533
Cammy,0.423,0.44,0.455,0.47,0.464,0.456,0.487,0.451,0.425,0.463,0.459,0.453,0.484,0.456,0.47,0.477,0.457,0.496,0.453,0.496,0.502,0.49,0.506,0.49,0.487,0.505,0.514,0.474,0.491,0.500,0.476,0.511,0.5,0.524
Menat,0.365,0.437,0.409,0.465,0.443,0.4,0.508,0.406,0.436,0.477,0.4,0.419,0.463,0.564,0.468,0.501,0.473,0.429,0.46,0.452,0.453,0.495,0.521,0.485,0.48,0.489,0.438,0.506,0.506,0.524,0.500,0.467,0.516,0.564
Sakura,0.404,0.417,0.436,0.418,0.445,0.438,0.428,0.445,0.492,0.475,0.48,0.471,0.472,0.478,0.477,0.472,0.467,0.471,0.488,0.476,0.506,0.466,0.472,0.476,0.482,0.481,0.503,0.489,0.488,0.489,0.533,0.500,0.532,0.514
G,0.371,0.354,0.37,0.411,0.384,0.377,0.404,0.402,0.396,0.409,0.401,0.432,0.442,0.479,0.464,0.445,0.449,0.423,0.448,0.425,0.431,0.467,0.458,0.464,0.473,0.462,0.458,0.472,0.468,0.501,0.484,0.468,0.500,0.501
Sagat,0.312,0.37,0.336,0.338,0.334,0.366,0.389,0.386,0.396,0.412,0.374,0.441,0.413,0.474,0.416,0.419,0.408,0.4,0.43,0.452,0.44,0.449,0.435,0.48,0.439,0.452,0.444,0.434,0.467,0.476,0.436,0.486,0.499,0.500
