Urien,0.500,0.495,0.527,0.562,0.526,0.519,0.554,0.546,0.54,0.514,0.552,0.554,0.554,0.483,0.561,0.592,0.54,0.552,0.569,0.543,0.563,0.553,0.528,0.559,0.547,0.564,0.558,0.555,0.544,0.551,0.584,0.566,0.588,0.565,0.588
DICTATOR,0.505,0.500,0.518,0.515,0.488,0.538,0.474,0.502,0.542,0.552,0.532,0.514,0.543,0.537,0.49,0.533,0.546,0.56,0.593,0.481,0.567,0.516,0.562,0.553,0.612,0.552,0.552,0.576,0.534,0.565,0.595,0.579,0.575,0.62,0.591
Dhalsim,0.473,0.482,0.500,0.525,0.457,0.474,0.466,0.521,0.514,0.572,0.467,0.473,0.55,0.53,0.663,0.524,0.476,0.523,0.601,0.488,0.571,0.522,0.535,0.508,0.607,0.58,0.553,0.58,0.482,0.57,0.533,0.525,0.563,0.568,0.557
Birdie,0.438,0.485,0.475,0.500,0.522,0.525,0.522,0.476,0.539,0.498,0.484,0.538,0.53,0.511,0.561,0.522,0.547,0.523,0.512,0.501,0.539,0.524,0.521,0.542,0.533,0.529,0.528,0.552,0.514,0.533,0.555,0.562,0.538,0.537,0.588
CLAW,0.474,0.512,0.543,0.478,0.500,0.487,0.497,0.578,0.515,0.505,0.538,0.488,0.52,0.531,0.509,0.506,0.54,0.532,0.557,0.465,0.5,0.498,0.544,0.516,0.575,0.504,0.517,0.543,0.533,0.545,0.554,0.543,0.529,0.574,0.562
BOXER,0.481,0.462,0.526,0.475,0.513,0.500,0.511,0.469,0.52,0.526,0.485,0.533,0.505,0.498,0.44,0.54,0.545,0.522,0.582,0.486,0.529,0.487,0.55,0.557,0.561,0.528,0.538,0.554,0.545,0.525,0.535,0.544,0.566,0.598,0.556
Blanka,0.446,0.526,0.534,0.478,0.503,0.489,0.500,0.467,0.515,0.483,0.486,0.474,0.528,0.528,0.501,0.523,0.524,0.531,0.546,0.494,0.522,0.515,0.523,0.539,0.56,0.538,0.528,0.538,0.522,0.549,0.563,0.549,0.546,0.604,0.561
Abigail,0.454,0.498,0.479,0.524,0.422,0.531,0.533,0.500,0.512,0.493,0.499,0.508,0.429,0.482,0.561,0.555,0.522,0.525,0.498,0.496,0.511,0.551,0.509,0.516,0.548,0.522,0.492,0.516,0.5,0.506,0.547,0.569,0.482,0.58,0.55
Karin,0.46,0.458,0.486,0.461,0.485,0.48,0.485,0.488,0.500,0.531,0.482,0.498,0.505,0.466,0.492,0.499,0.496,0.506,0.502,0.513,0.505,0.531,0.52,0.52,0.53,0.518,0.529,0.536,0.531,0.529,0.539,0.532,0.536,0.532,0.567
Guile,0.486,0.448,0.428,0.502,0.495,0.474,0.517,0.507,0.469,0.500,0.478,0.498,0.516,0.502,0.501,0.514,0.508,0.473,0.52,0.493,0.516,0.506,0.517,0.487,0.571,0.507,0.545,0.539,0.544,0.536,0.519,0.533,0.545,0.521,0.535
Alex,0.448,0.468,0.533,0.516,0.462,0.515,0.514,0.501,0.518,0.522,0.500,0.471,0.463,0.517,0.513,0.52,0.499,0.517,0.512,0.488,0.492,0.5,0.512,0.521,0.545,0.5,0.509,0.522,0.494,0.527,0.55,0.549,0.501,0.579,0.546
