DICTATOR,0.500,0.508,0.472,0.528,0.496,0.559,0.502,0.548,0.541,0.507,0.533,0.531,0.554,0.555,0.564,0.546,0.508,0.498,0.585,0.537,0.507,0.49,0.542,0.61,0.529,0.555,0.555,0.577,0.564,0.568,0.589,0.619,0.571,0.582
Urien,0.492,0.500,0.519,0.539,0.544,0.504,0.554,0.522,0.484,0.55,0.544,0.555,0.535,0.533,0.54,0.551,0.545,0.571,0.549,0.549,0.557,0.544,0.529,0.55,0.549,0.545,0.551,0.572,0.605,0.55,0.559,0.566,0.56,0.589
CLAW,0.528,0.481,0.500,0.576,0.51,0.501,0.488,0.473,0.539,0.55,0.511,0.543,0.532,0.551,0.484,0.524,0.516,0.545,0.538,0.559,0.505,0.471,0.524,0.577,0.531,0.535,0.491,0.522,0.549,0.544,0.577,0.584,0.544,0.539
Dhalsim,0.472,0.461,0.424,0.500,0.434,0.566,0.537,0.449,0.503,0.48,0.503,0.488,0.499,0.536,0.499,0.518,0.485,0.666,0.499,0.499,0.494,0.484,0.456,0.62,0.549,0.559,0.599,0.556,0.547,0.569,0.527,0.615,0.512,0.557
Blanka,0.504,0.456,0.49,0.566,0.500,0.487,0.499,0.501,0.523,0.461,0.499,0.498,0.545,0.52,0.534,0.535,0.532,0.528,0.557,0.527,0.523,0.482,0.529,0.545,0.537,0.551,0.531,0.525,0.537,0.552,0.553,0.56,0.546,0.545
Guile,0.441,0.496,0.499,0.434,0.513,0.500,0.518,0.48,0.499,0.541,0.529,0.476,0.485,0.513,0.481,0.492,0.519,0.518,0.516,0.51,0.515,0.508,0.557,0.558,0.552,0.548,0.521,0.546,0.548,0.539,0.513,0.593,0.531,0.558
Birdie,0.498,0.446,0.512,0.463,0.501,0.482,0.500,0.531,0.503,0.459,0.496,0.493,0.513,0.5,0.542,0.54,0.557,0.565,0.504,0.548,0.513,0.521,0.505,0.521,0.512,0.537,0.548,0.568,0.549,0.55,0.548,0.537,0.55,0.536
BOXER,0.452,0.478,0.527,0.551,0.499,0.52,0.469,0.500,0.486,0.473,0.514,0.489,0.509,0.541,0.526,0.528,0.525,0.441,0.564,0.542,0.494,0.497,0.542,0.567,0.529,0.527,0.531,0.527,0.561,0.548,0.546,0.562,0.546,0.574
FANG,0.459,0.516,0.461,0.497,0.477,0.501,0.497,0.514,0.500,0.512,0.483,0.505,0.521,0.535,0.492,0.554,0.516,0.496,0.487,0.528,0.518,0.503,0.518,0.565,0.515,0.512,0.553,0.552,0.547,0.539,0.538,0.558,0.512,0.567
Abigail,0.493,0.45,0.45,0.52,0.539,0.46,0.541,0.527,0.488,0.500,0.428,0.508,0.523,0.511,0.507,0.53,0.537,0.594,0.527,0.521,0.549,0.537,0.492,0.486,0.491,0.507,0.542,0.532,0.569,0.521,0.533,0.557,0.573,0.515
Edd,0.467,0.456,0.489,0.497,0.501,0.471,0.504,0.486,0.517,0.572,0.500,0.541,0.525,0.498,0.505,0.52,0.535,0.536,0.552,0.516,0.512,0.53,0.55,0.509,0.507,0.508,0.529,0.535,0.537,0.498,0.528,0.518,0.543,0.542
Alex,0.469,0.445,0.457,0.512,0.502,0.525,0.507,0.511,0.495,0.492,0.46,0.500,0.506,0.496,0.51,0.512,0.485,0.521,0.577,0.493,0.513,0.495,0.49,0.515,0.503,0.52,0.523,0.513,0.546,0.525,0.545,0.557,0.546,0.517
Ibuki,0.446,0.465,0.468,0.501,0.455,0.515,0.487,0.491,0.479,0.477,0.475,0.494,0.500,0.531,0.508,0.517,0.516,0.481,0.514,0.491,0.502,0.494,0.498,0.532,0.525,0.506,0.514,0.512,0.512,0.523,0.514,0.53,0.519,0.529
Nash,0.445,0.467,0.449,0.464,0.48,0.487,0.5,0.459,0.465,0.489,0.502,0.505,0.469,0.500,0.492,0.478,0.488,0.551,0.533,0.493,0.5,0.466,0.498,0.528,0.526,0.519,0.512,0.517,0.525,0.528,0.52,0.55,0.513,0.537
Necalli,0.436,0.46,0.516,0.501,0.466,0.519,0.458,0.474,0.508,0.493,0.495,0.49,0.492,0.508,0.500,0.489,0.466,0.509,0.52,0.512,0.489,0.501,0.513,0.513,0.512,0.521,0.518,0.502,0.493,0.518,0.495,0.528,0.527,0.523
Karin,0.454,0.449,0.476,0.482,0.465,0.508,0.46,0.472,0.446,0.47,0.48,0.488,0.483,0.522,0.511,0.500,0.505,0.475,0.483,0.483,0.522,0.509,0.509,0.5,0.518,0.518,0.496,0.508,0.495,0.53,0.524,0.523,0.517,0.544
Kolin,0.492,0.455,0.484,0.515,0.468,0.481,0.443,0.475,0.484,0.463,0.465,0.515,0.484,0.512,0.534,0.495,0.500,0.474,0.514,0.53,0.524,0.493,0.516,0.525,0.513,0.5,0.491,0.521,0.498,0.514,0.529,0.507,0.552,0.529
Zangief,0.502,0.429,0.455,0.335,0.472,0.482,0.435,0.559,0.504,0.406,0.464,0.479,0.519,0.449,0.491,0.525,0.526,0.500,0.406,0.499,0.534,0.546,0.507,0.432,0.511,0.551,0.528,0.507,0.469,0.518,0.524,0.457,0.539,0.518
Menat,0.415,0.451,0.462,0.501,0.443,0.484,0.496,0.436,0.513,0.473,0.448,0.423,0.486,0.467,0.48,0.517,0.486,0.594,0.500,0.491,0.479,0.486,0.461,0.498,0.511,0.521,0.567,0.51,0.505,0.536,0.51,0.56,0.548,0.517
Zeku,0.463,0.451,0.441,0.501,0.473,0.49,0.452,0.458,0.472,0.479,0.484,0.507,0.509,0.507,0.488,0.517,0.47,0.501,0.509,0.500,0.477,0.484,0.508,0.509,0.508,0.517,0.489,0.496,0.503,0.506,0.503,0.516,0.532,0.534
R.Mika,0.493,0.443,0.495,0.506,0.477,0.485,0.487,0.506,0.482,0.451,0.488,0.487,0.498,0.5,0.511,0.478,0.476,0.466,0.521,0.523,0.500,0.492,0.509,0.509,0.49,0.517,0.508,0.501,0.524,0.499,0.501,0.488,0.507,0.525
Laura,0.51,0.456,0.529,0.516,0.518,0.492,0.479,0.503,0.497,0.463,0.47,0.505,0.506,0.534,0.499,0.491,0.507,0.454,0.514,0.516,0.508,0.500,0.516,0.481,0.476,0.482,0.5,0.514,0.532,0.484,0.495,0.492,0.495,0.496
Rashid,0.458,0.471,0.476,0.544,0.472,0.443,0.496,0.458,0.482,0.508,0.45,0.51,0.502,0.502,0.487,0.491,0.484,0.493,0.539,0.492,0.491,0.484,0.500,0.526,0.493,0.499,0.509,0.491,0.516,0.492,0.508,0.515,0.49,0.51
Falke,0.39,0.45,0.423,0.38,0.455,0.442,0.479,0.433,0.435,0.514,0.492,0.485,0.468,0.472,0.487,0.501,0.475,0.568,0.502,0.491,0.491,0.519,0.474,0.500,0.499,0.507,0.529,0.518,0.48,0.51,0.503,0.511,0.531,0.545
Ken,0.471,0.451,0.469,0.451,0.463,0.448,0.488,0.471,0.485,0.509,0.493,0.497,0.475,0.474,0.488,0.482,0.488,0.489,0.489,0.492,0.51,0.524,0.507,0.501,0.500,0.495,0.505,0.481,0.501,0.482,0.5,0.473,0.5,0.52
Akuma,0.445,0.455,0.465,0.441,0.449,0.452,0.463,0.473,0.488,0.493,0.492,0.48,0.494,0.481,0.479,0.482,0.5,0.449,0.479,0.483,0.483,0.518,0.501,0.493,0.505,0.500,0.513,0.507,0.491,0.505,0.503,0.505,0.496,0.525
ChunLi,0.445,0.449,0.509,0.401,0.469,0.479,0.452,0.469,0.447,0.458,0.471,0.477,0.486,0.488,0.482,0.504,0.509,0.472,0.433,0.511,0.492,0.5,0.491,0.471,0.495,0.487,0.500,0.491,0.504,0.514,0.482,0.501,0.496,0.52
Cody,0.423,0.429,0.478,0.444,0.475,0.454,0.432,0.473,0.448,0.468,0.465,0.487,0.488,0.483,0.498,0.492,0.479,0.493,0.49,0.504,0.499,0.486,0.509,0.482,0.519,0.493,0.509,0.500,0.526,0.493,0.511,0.481,0.52,0.519
G,0.436,0.396,0.451,0.453,0.463,0.452,0.451,0.439,0.453,0.431,0.463,0.454,0.488,0.475,0.507,0.505,0.502,0.531,0.495,0.497,0.476,0.468,0.484,0.52,0.499,0.509,0.496,0.474,0.500,0.524,0.518,0.503,0.532,0.516
Ryu,0.432,0.45,0.456,0.431,0.448,0.461,0.45,0.452,0.461,0.48,0.502,0.475,0.477,0.472,0.482,0.47,0.486,0.482,0.464,0.494,0.501,0.516,0.508,0.49,0.518,0.495,0.486,0.507,0.476,0.500,0.507,0.495,0.5,0.534
Juri,0.411,0.441,0.423,0.473,0.447,0.487,0.452,0.454,0.462,0.467,0.472,0.455,0.486,0.48,0.505,0.476,0.471,0.476,0.49,0.497,0.499,0.505,0.492,0.497,0.5,0.497,0.518,0.489,0.482,0.493,0.500,0.494,0.511,0.534
Sagat,0.381,0.434,0.416,0.385,0.44,0.407,0.463,0.438,0.442,0.443,0.482,0.443,0.47,0.45,0.472,0.477,0.493,0.543,0.44,0.484,0.512,0.508,0.485,0.489,0.527,0.495,0.499,0.519,0.497,0.505,0.506,0.500,0.533,0.535
Cammy,0.429,0.44,0.456,0.488,0.454,0.469,0.45,0.454,0.488,0.427,0.457,0.454,0.481,0.488,0.473,0.483,0.448,0.461,0.452,0.468,0.493,0.505,0.51,0.469,0.5,0.504,0.504,0.48,0.468,0.5,0.489,0.467,0.500,0.522
Sakura,0.418,0.411,0.461,0.443,0.456,0.442,0.464,0.426,0.433,0.485,0.458,0.483,0.471,0.463,0.477,0.456,0.471,0.482,0.484,0.466,0.475,0.504,0.49,0.455,0.48,0.476,0.48,0.481,0.484,0.466,0.466,0.465,0.478,0.500
