E.Honda,0.500,0.514,0.521,0.59,0.513,0.508,0.579,0.489,0.618,0.537,0.515,0.562,0.512,0.509,0.537,0.517,0.519,0.567,0.588,0.542,0.557,0.585,0.561,0.561,0.587,0.594,0.554,0.585,0.583,0.567,0.537,0.557,0.613,0.569,0.572,0.562,0.552,0.641,0.649,0.604
Urien,0.486,0.500,0.49,0.519,0.483,0.537,0.544,0.541,0.545,0.518,0.535,0.507,0.515,0.54,0.495,0.543,0.532,0.579,0.563,0.55,0.52,0.548,0.56,0.553,0.533,0.549,0.553,0.538,0.533,0.551,0.543,0.555,0.586,0.555,0.555,0.581,0.559,0.572,0.574,0.557
DICTATOR,0.479,0.51,0.500,0.535,0.46,0.54,0.487,0.502,0.536,0.528,0.528,0.567,0.529,0.537,0.559,0.486,0.476,0.525,0.552,0.593,0.533,0.544,0.534,0.539,0.549,0.549,0.584,0.577,0.567,0.529,0.55,0.526,0.586,0.559,0.515,0.571,0.559,0.628,0.573,0.555
BOXER,0.41,0.481,0.465,0.500,0.526,0.506,0.509,0.473,0.564,0.484,0.482,0.572,0.53,0.513,0.486,0.472,0.491,0.551,0.573,0.554,0.556,0.552,0.542,0.561,0.557,0.555,0.579,0.547,0.574,0.546,0.555,0.554,0.564,0.55,0.525,0.579,0.554,0.602,0.592,0.598
CLAW,0.487,0.517,0.54,0.474,0.500,0.5,0.483,0.57,0.585,0.555,0.521,0.529,0.496,0.492,0.551,0.522,0.465,0.516,0.516,0.569,0.559,0.537,0.501,0.556,0.53,0.557,0.542,0.55,0.571,0.518,0.53,0.513,0.574,0.548,0.533,0.539,0.528,0.593,0.554,0.548
Edd,0.492,0.463,0.46,0.494,0.5,0.500,0.496,0.548,0.471,0.536,0.521,0.552,0.495,0.491,0.532,0.54,0.546,0.509,0.517,0.496,0.545,0.538,0.544,0.528,0.546,0.553,0.537,0.553,0.551,0.546,0.509,0.529,0.564,0.55,0.561,0.572,0.546,0.552,0.597,0.593
Blanka,0.421,0.456,0.513,0.491,0.517,0.505,0.500,0.476,0.547,0.493,0.531,0.548,0.493,0.507,0.535,0.543,0.471,0.521,0.567,0.532,0.567,0.548,0.546,0.52,0.561,0.524,0.524,0.565,0.526,0.553,0.546,0.521,0.535,0.526,0.536,0.57,0.558,0.628,0.565,0.549
Abigail,0.511,0.459,0.498,0.527,0.43,0.452,0.524,0.500,0.521,0.509,0.555,0.513,0.475,0.502,0.53,0.603,0.518,0.542,0.584,0.54,0.529,0.53,0.545,0.524,0.491,0.499,0.546,0.535,0.53,0.532,0.526,0.502,0.574,0.531,0.548,0.509,0.53,0.569,0.589,0.548
Dhalsim,0.382,0.455,0.464,0.436,0.415,0.529,0.453,0.479,0.500,0.468,0.522,0.578,0.54,0.566,0.506,0.648,0.472,0.529,0.56,0.587,0.501,0.541,0.483,0.493,0.52,0.531,0.564,0.519,0.522,0.568,0.557,0.52,0.564,0.522,0.516,0.561,0.562,0.586,0.54,0.471
Alex,0.463,0.482,0.472,0.516,0.445,0.464,0.507,0.491,0.532,0.500,0.512,0.509,0.534,0.485,0.509,0.523,0.486,0.54,0.571,0.565,0.544,0.542,0.53,0.521,0.533,0.524,0.54,0.54,0.539,0.534,0.527,0.526,0.552,0.53,0.523,0.526,0.533,0.586,0.57,0.527
