Ken,0.451,0.451,0.477,0.449,0.474,0.472,0.487,0.469,0.507,0.49,0.495,0.499,0.505,0.487,0.479,0.491,0.488,0.474,0.487,0.53,0.497,0.500,0.504,0.517,0.493,0.511,0.488,0.5,0.5,0.511,0.53,0.567
Juri,0.404,0.426,0.42,0.47,0.431,0.463,0.445,0.489,0.458,0.449,0.486,0.471,0.484,0.465,0.494,0.5,0.484,0.496,0.487,0.499,0.505,0.496,0.500,0.506,0.529,0.521,0.507,0.511,0.501,0.526,0.542,0.596
Rashid,0.45,0.449,0.461,0.425,0.495,0.44,0.485,0.544,0.5,0.497,0.479,0.473,0.468,0.496,0.503,0.496,0.478,0.489,0.504,0.498,0.495,0.483,0.494,0.500,0.554,0.512,0.491,0.479,0.503,0.542,0.512,0.603
Menat,0.397,0.468,0.456,0.461,0.489,0.437,0.509,0.482,0.453,0.412,0.456,0.471,0.45,0.576,0.469,0.473,0.518,0.444,0.48,0.481,0.476,0.507,0.471,0.446,0.500,0.552,0.521,0.518,0.502,0.513,0.5,0.6
ChunLi,0.456,0.445,0.501,0.469,0.439,0.468,0.47,0.422,0.471,0.474,0.47,0.47,0.471,0.474,0.48,0.494,0.494,0.472,0.51,0.498,0.517,0.489,0.479,0.488,0.448,0.500,0.509,0.485,0.491,0.486,0.526,0.598
Ryu,0.416,0.456,0.451,0.451,0.444,0.45,0.45,0.428,0.484,0.473,0.467,0.488,0.513,0.479,0.478,0.482,0.472,0.47,0.486,0.514,0.485,0.512,0.493,0.509,0.479,0.491,0.500,0.497,0.497,0.51,0.534,0.602
Cammy,0.419,0.446,0.452,0.469,0.471,0.466,0.451,0.48,0.424,0.468,0.467,0.477,0.462,0.457,0.488,0.468,0.487,0.501,0.464,0.514,0.477,0.5,0.489,0.521,0.482,0.515,0.503,0.500,0.515,0.482,0.527,0.563
Akuma,0.426,0.46,0.462,0.446,0.467,0.469,0.468,0.439,0.491,0.473,0.467,0.46,0.485,0.452,0.494,0.482,0.485,0.483,0.496,0.515,0.473,0.5,0.499,0.497,0.498,0.509,0.503,0.485,0.500,0.521,0.529,0.602
Falke,0.373,0.428,0.409,0.413,0.389,0.39,0.464,0.402,0.486,0.477,0.466,0.458,0.473,0.562,0.463,0.477,0.479,0.452,0.452,0.488,0.474,0.489,0.474,0.458,0.487,0.514,0.49,0.518,0.479,0.500,0.504,0.586
Sakura,0.412,0.418,0.44,0.428,0.41,0.433,0.463,0.429,0.508,0.489,0.469,0.467,0.452,0.489,0.465,0.467,0.473,0.467,0.465,0.509,0.457,0.47,0.458,0.488,0.501,0.474,0.466,0.473,0.471,0.496,0.500,0.561
Cody,0.292,0.317,0.346,0.323,0.348,0.353,0.341,0.387,0.354,0.364,0.348,0.378,0.38,0.394,0.382,0.392,0.379,0.381,0.385,0.381,0.39,0.433,0.404,0.397,0.4,0.402,0.398,0.437,0.398,0.414,0.439,0.500
