Urien,0.500,0.503,0.54,0.509,0.526,0.553,0.562,0.474,0.565,0.514,0.547,0.552,0.53,0.576,0.561,0.544,0.551,0.537,0.543,0.542,0.554,0.556,0.549,0.547,0.546,0.57,0.585,0.578,0.554,0.551,0.561,0.563,0.571,0.59,0.591
DICTATOR,0.497,0.500,0.527,0.482,0.536,0.463,0.505,0.519,0.5,0.545,0.507,0.543,0.545,0.534,0.491,0.537,0.533,0.587,0.485,0.555,0.567,0.514,0.547,0.563,0.55,0.54,0.618,0.583,0.55,0.563,0.609,0.57,0.579,0.582,0.581
Dhalsim,0.46,0.473,0.500,0.432,0.475,0.469,0.522,0.524,0.502,0.569,0.474,0.54,0.546,0.53,0.665,0.484,0.481,0.587,0.484,0.498,0.576,0.508,0.536,0.534,0.461,0.578,0.511,0.543,0.557,0.572,0.634,0.589,0.531,0.597,0.557
CLAW,0.492,0.518,0.568,0.500,0.505,0.479,0.48,0.55,0.575,0.505,0.491,0.52,0.529,0.528,0.521,0.523,0.54,0.537,0.474,0.511,0.488,0.515,0.533,0.539,0.528,0.511,0.577,0.56,0.529,0.538,0.602,0.541,0.538,0.553,0.561
BOXER,0.474,0.464,0.525,0.495,0.500,0.505,0.482,0.466,0.483,0.536,0.517,0.503,0.534,0.549,0.442,0.529,0.491,0.58,0.492,0.555,0.519,0.51,0.515,0.555,0.558,0.532,0.578,0.556,0.547,0.542,0.562,0.568,0.543,0.572,0.563
Blanka,0.447,0.537,0.531,0.521,0.495,0.500,0.493,0.497,0.497,0.501,0.509,0.491,0.525,0.511,0.516,0.52,0.49,0.529,0.498,0.545,0.526,0.527,0.555,0.54,0.536,0.555,0.598,0.547,0.529,0.549,0.576,0.538,0.534,0.571,0.549
Birdie,0.438,0.495,0.478,0.52,0.518,0.507,0.500,0.493,0.462,0.507,0.526,0.523,0.54,0.518,0.56,0.538,0.501,0.516,0.492,0.533,0.53,0.514,0.534,0.539,0.526,0.537,0.502,0.565,0.531,0.533,0.529,0.556,0.553,0.538,0.571
FANG,0.526,0.481,0.476,0.45,0.534,0.503,0.507,0.500,0.539,0.501,0.488,0.495,0.537,0.527,0.492,0.527,0.517,0.565,0.496,0.514,0.551,0.529,0.539,0.526,0.517,0.56,0.511,0.536,0.539,0.536,0.568,0.556,0.504,0.548,0.552
Abigail,0.436,0.5,0.498,0.425,0.517,0.503,0.538,0.461,0.500,0.492,0.507,0.447,0.512,0.54,0.58,0.519,0.496,0.509,0.505,0.503,0.496,0.543,0.534,0.529,0.502,0.528,0.595,0.53,0.496,0.514,0.556,0.518,0.567,0.469,0.547
Guile,0.486,0.455,0.431,0.496,0.464,0.499,0.493,0.499,0.508,0.500,0.501,0.515,0.472,0.508,0.495,0.504,0.477,0.525,0.497,0.479,0.514,0.509,0.476,0.518,0.555,0.509,0.472,0.514,0.551,0.532,0.581,0.542,0.529,0.564,0.533
Kolin,0.453,0.493,0.526,0.509,0.483,0.492,0.474,0.512,0.493,0.499,0.500,0.462,0.502,0.525,0.476,0.508,0.512,0.532,0.487,0.533,0.506,0.509,0.505,0.524,0.513,0.505,0.549,0.519,0.522,0.515,0.514,0.533,0.557,0.512,0.548
Edd,0.448,0.457,0.46,0.48,0.497,0.509,0.477,0.505,0.553,0.485,0.538,0.500,0.498,0.519,0.521,0.487,0.537,0.527,0.539,0.507,0.523,0.521,0.514,0.507,0.559,0.522,0.573,0.538,0.507,0.516,0.52,0.496,0.549,0.527,0.554
Karin,0.47,0.455,0.454,0.471,0.466,0.475,0.46,0.463,0.488,0.528,0.498,0.502,0.500,0.489,0.483,0.478,0.489,0.489,0.506,0.525,0.509,0.528,0.504,0.532,0.518,0.491,0.517,0.535,0.526,0.53,0.529,0.538,0.528,0.547,0.555
G,0.424,0.466,0.47,0.472,0.451,0.489,0.482,0.473,0.46,0.492,0.475,0.481,0.511,0.500,0.549,0.514,0.481,0.51,0.485,0.524,0.5,0.489,0.522,0.51,0.514,0.501,0.549,0.541,0.53,0.527,0.5,0.547,0.549,0.523,0.548
Zangief,0.439,0.509,0.335,0.479,0.558,0.484,0.44,0.508,0.42,0.505,0.524,0.479,0.517,0.451,0.500,0.507,0.491,0.405,0.549,0.507,0.497,0.54,0.523,0.477,0.522,0.546,0.452,0.529,0.513,0.546,0.456,0.525,0.544,0.509,0.574
Zeku,0.456,0.464,0.516,0.477,0.472,0.48,0.462,0.473,0.481,0.496,0.492,0.513,0.522,0.486,0.493,0.500,0.519,0.506,0.492,0.504,0.499,0.484,0.521,0.532,0.525,0.5,0.551,0.487,0.521,0.53,0.522,0.523,0.538,0.556,0.55
