DICTATOR,0.500,0.515,0.497,0.543,0.556,0.494,0.563,0.5,0.539,0.509,0.531,0.54,0.511,0.562,0.509,0.553,0.562,0.53,0.561,0.614,0.481,0.559,0.534,0.576,0.545,0.592,0.615,0.579,0.57,0.588,0.57,0.551,0.628,0.585
Urien,0.485,0.500,0.542,0.541,0.505,0.554,0.529,0.515,0.485,0.549,0.547,0.543,0.57,0.52,0.551,0.56,0.541,0.562,0.557,0.551,0.55,0.553,0.539,0.551,0.549,0.577,0.567,0.597,0.562,0.585,0.548,0.556,0.57,0.595
Blanka,0.503,0.458,0.500,0.569,0.492,0.511,0.507,0.512,0.555,0.466,0.5,0.5,0.537,0.544,0.518,0.525,0.549,0.521,0.541,0.576,0.494,0.551,0.542,0.55,0.531,0.576,0.561,0.552,0.545,0.559,0.556,0.552,0.568,0.552
Dhalsim,0.457,0.459,0.431,0.500,0.562,0.526,0.45,0.427,0.507,0.482,0.511,0.448,0.648,0.524,0.505,0.491,0.504,0.488,0.489,0.52,0.503,0.519,0.446,0.56,0.539,0.508,0.622,0.545,0.517,0.564,0.564,0.577,0.605,0.557
Guile,0.444,0.495,0.508,0.438,0.500,0.516,0.481,0.508,0.505,0.546,0.526,0.477,0.512,0.517,0.515,0.51,0.485,0.512,0.491,0.517,0.504,0.491,0.568,0.542,0.551,0.511,0.575,0.543,0.525,0.549,0.553,0.532,0.595,0.566
Birdie,0.506,0.446,0.489,0.474,0.484,0.500,0.528,0.513,0.505,0.466,0.506,0.489,0.554,0.512,0.515,0.554,0.526,0.557,0.556,0.512,0.511,0.554,0.508,0.548,0.516,0.555,0.523,0.537,0.54,0.55,0.541,0.549,0.528,0.527
BOXER,0.437,0.471,0.493,0.55,0.519,0.472,0.500,0.534,0.49,0.463,0.502,0.49,0.443,0.536,0.496,0.538,0.53,0.529,0.545,0.565,0.49,0.539,0.55,0.544,0.536,0.542,0.597,0.558,0.546,0.546,0.532,0.535,0.571,0.571
CLAW,0.5,0.485,0.488,0.573,0.492,0.487,0.466,0.500,0.525,0.558,0.499,0.524,0.525,0.54,0.499,0.546,0.529,0.514,0.496,0.557,0.47,0.525,0.522,0.529,0.518,0.554,0.553,0.551,0.52,0.514,0.533,0.491,0.585,0.542
Jam,0.461,0.515,0.445,0.493,0.495,0.495,0.51,0.475,0.500,0.508,0.487,0.511,0.497,0.541,0.524,0.519,0.521,0.537,0.516,0.501,0.511,0.574,0.506,0.525,0.517,0.532,0.546,0.551,0.504,0.546,0.514,0.559,0.556,0.548
Abigail,0.492,0.451,0.534,0.518,0.454,0.534,0.537,0.442,0.492,0.500,0.447,0.508,0.582,0.504,0.527,0.516,0.535,0.527,0.516,0.548,0.521,0.542,0.495,0.51,0.489,0.531,0.491,0.576,0.568,0.536,0.504,0.548,0.561,0.511
Edd,0.469,0.453,0.5,0.489,0.474,0.494,0.498,0.501,0.513,0.553,0.500,0.545,0.529,0.496,0.518,0.499,0.524,0.548,0.513,0.565,0.544,0.52,0.551,0.491,0.505,0.527,0.532,0.536,0.542,0.532,0.512,0.527,0.52,0.538
