DICTATOR,0.500,0.524,0.495,0.482,0.542,0.555,0.564,0.549,0.551,0.49,0.558,0.559,0.512,0.558,0.52,0.572,0.54,0.544,0.593,0.559,0.588,0.605,0.57,0.569,0.59,0.624,0.85
Urien,0.476,0.500,0.478,0.541,0.486,0.516,0.509,0.535,0.513,0.517,0.538,0.529,0.539,0.551,0.576,0.539,0.533,0.528,0.539,0.581,0.555,0.558,0.566,0.566,0.582,0.58,0.797
CLAW,0.505,0.522,0.500,0.506,0.554,0.49,0.512,0.582,0.524,0.48,0.566,0.547,0.527,0.534,0.549,0.522,0.516,0.525,0.567,0.601,0.553,0.552,0.546,0.539,0.546,0.598,0.798
Birdie,0.518,0.459,0.494,0.500,0.487,0.522,0.5,0.481,0.557,0.508,0.523,0.562,0.544,0.541,0.568,0.561,0.564,0.501,0.531,0.503,0.565,0.565,0.537,0.552,0.577,0.6,0.77
Jam,0.458,0.514,0.446,0.513,0.500,0.504,0.529,0.5,0.51,0.493,0.538,0.561,0.544,0.5,0.503,0.532,0.54,0.52,0.548,0.539,0.544,0.575,0.555,0.569,0.556,0.563,0.767
BOXER,0.445,0.484,0.51,0.478,0.496,0.500,0.532,0.555,0.515,0.471,0.505,0.536,0.494,0.542,0.472,0.563,0.548,0.553,0.563,0.492,0.545,0.57,0.552,0.553,0.561,0.579,0.801
Guile,0.436,0.491,0.488,0.501,0.471,0.468,0.500,0.448,0.474,0.488,0.487,0.467,0.494,0.538,0.533,0.483,0.534,0.549,0.537,0.6,0.557,0.554,0.568,0.531,0.523,0.515,0.81
Dhalsim,0.451,0.465,0.418,0.519,0.5,0.445,0.552,0.500,0.506,0.47,0.465,0.513,0.485,0.5,0.663,0.502,0.465,0.46,0.549,0.49,0.554,0.573,0.546,0.575,0.536,0.536,0.771
Ibuki,0.449,0.487,0.476,0.443,0.49,0.485,0.526,0.494,0.500,0.499,0.5,0.527,0.517,0.514,0.487,0.525,0.537,0.511,0.551,0.504,0.528,0.537,0.538,0.536,0.536,0.538,0.758
Laura,0.51,0.483,0.52,0.492,0.507,0.529,0.512,0.53,0.501,0.500,0.526,0.506,0.535,0.487,0.467,0.518,0.545,0.542,0.568,0.524,0.497,0.508,0.512,0.54,0.53,0.522,0.74
