Urien,0.500,0.494,0.529,0.542,0.532,0.524,0.515,0.544,0.575,0.527,0.553,0.576,0.573,0.571,0.565,0.582,0.577,0.606,0.621,0.61,0.6,0.615,0.617
DICTATOR,0.506,0.500,0.545,0.515,0.482,0.503,0.546,0.545,0.523,0.568,0.569,0.51,0.547,0.564,0.579,0.519,0.604,0.599,0.633,0.6,0.62,0.597,0.624
BOXER,0.471,0.455,0.500,0.553,0.471,0.53,0.537,0.534,0.515,0.536,0.565,0.49,0.568,0.554,0.523,0.526,0.578,0.583,0.608,0.591,0.607,0.585,0.605
Dhalsim,0.458,0.485,0.447,0.500,0.482,0.47,0.552,0.508,0.538,0.536,0.519,0.676,0.481,0.546,0.499,0.527,0.581,0.566,0.565,0.583,0.597,0.626,0.609
Laura,0.468,0.518,0.529,0.518,0.500,0.538,0.514,0.497,0.523,0.541,0.519,0.475,0.534,0.518,0.542,0.55,0.583,0.551,0.549,0.555,0.549,0.557,0.556
CLAW,0.476,0.497,0.47,0.53,0.462,0.500,0.473,0.523,0.497,0.542,0.519,0.534,0.525,0.531,0.554,0.524,0.567,0.527,0.588,0.542,0.553,0.554,0.574
Guile,0.485,0.454,0.463,0.448,0.486,0.527,0.500,0.476,0.54,0.522,0.497,0.544,0.552,0.477,0.508,0.531,0.57,0.553,0.537,0.584,0.574,0.554,0.595
Ibuki,0.456,0.455,0.466,0.492,0.503,0.477,0.524,0.500,0.469,0.515,0.53,0.495,0.515,0.53,0.521,0.539,0.552,0.543,0.547,0.561,0.557,0.566,0.57
Birdie,0.425,0.477,0.485,0.462,0.477,0.503,0.46,0.531,0.500,0.496,0.537,0.552,0.463,0.537,0.499,0.535,0.536,0.567,0.57,0.544,0.561,0.555,0.58
FANG,0.473,0.432,0.464,0.464,0.459,0.458,0.478,0.485,0.504,0.500,0.485,0.48,0.49,0.54,0.517,0.532,0.54,0.533,0.548,0.55,0.56,0.578,0.567
Necalli,0.447,0.431,0.435,0.481,0.481,0.481,0.503,0.47,0.463,0.515,0.500,0.494,0.505,0.499,0.484,0.506,0.547,0.539,0.545,0.545,0.548,0.553,0.559
Zangief,0.424,0.49,0.51,0.324,0.525,0.466,0.456,0.505,0.448,0.52,0.506,0.500,0.482,0.523,0.501,0.528,0.484,0.562,0.556,0.538,0.541,0.541,0.589
Rashid,0.427,0.453,0.432,0.519,0.466,0.475,0.448,0.485,0.537,0.51,0.495,0.518,0.500,0.505,0.521,0.52,0.518,0.521,0.543,0.509,0.507,0.533,0.548
Karin,0.429,0.436,0.446,0.454,0.482,0.469,0.523,0.47,0.464,0.46,0.501,0.477,0.495,0.500,0.508,0.535,0.537,0.54,0.544,0.538,0.547,0.533,0.553
Alex,0.435,0.421,0.477,0.501,0.458,0.446,0.492,0.479,0.501,0.483,0.516,0.499,0.479,0.492,0.500,0.481,0.531,0.534,0.544,0.537,0.547,0.524,0.547
R.Mika,0.418,0.481,0.474,0.473,0.45,0.476,0.469,0.461,0.465,0.468,0.494,0.472,0.48,0.465,0.519,0.500,0.525,0.519,0.522,0.525,0.522,0.531,0.554
Nash,0.423,0.396,0.422,0.419,0.417,0.433,0.43,0.448,0.464,0.46,0.453,0.516,0.482,0.463,0.469,0.475,0.500,0.512,0.5,0.528,0.536,0.53,0.532
Cammy,0.394,0.401,0.417,0.434,0.449,0.473,0.447,0.457,0.433,0.467,0.461,0.438,0.479,0.46,0.466,0.481,0.488,0.500,0.493,0.515,0.51,0.529,0.529
Juri,0.379,0.367,0.392,0.435,0.451,0.412,0.464,0.453,0.43,0.452,0.456,0.444,0.457,0.456,0.456,0.478,0.5,0.507,0.500,0.511,0.513,0.522,0.532
Ken,0.391,0.4,0.409,0.417,0.445,0.458,0.416,0.439,0.456,0.45,0.455,0.462,0.491,0.462,0.464,0.475,0.472,0.485,0.489,0.500,0.485,0.514,0.499
Ryu,0.4,0.38,0.394,0.404,0.451,0.447,0.426,0.443,0.439,0.44,0.452,0.459,0.493,0.453,0.453,0.478,0.464,0.49,0.487,0.515,0.500,0.504,0.511
ChunLi,0.385,0.403,0.415,0.374,0.443,0.446,0.446,0.434,0.445,0.422,0.447,0.459,0.467,0.467,0.476,0.469,0.47,0.471,0.478,0.486,0.496,0.500,0.502
Akuma,0.383,0.376,0.396,0.391,0.444,0.426,0.405,0.43,0.42,0.433,0.441,0.412,0.452,0.447,0.453,0.446,0.468,0.472,0.468,0.501,0.489,0.498,0.500
