E.Honda,0.500,0.506,0.531,0.608,0.546,0.625,0.494,0.515,0.562,0.552,0.529,0.569,0.546,0.578,0.593,0.552,0.563,0.645,0.563,0.606,0.598,0.57,0.575,0.537,0.629,0.585,0.633,0.589,0.59,0.633,0.61,0.581,0.583,0.572,0.663,0.61,0.647,0.611,0.617,0.66
Urien,0.494,0.500,0.516,0.532,0.55,0.537,0.554,0.539,0.513,0.535,0.52,0.557,0.531,0.563,0.566,0.513,0.547,0.559,0.554,0.57,0.544,0.538,0.564,0.514,0.557,0.572,0.585,0.562,0.573,0.542,0.537,0.57,0.566,0.501,0.582,0.561,0.591,0.585,0.574,0.585
Edd,0.469,0.484,0.500,0.507,0.528,0.499,0.552,0.494,0.51,0.525,0.489,0.543,0.477,0.514,0.542,0.511,0.557,0.539,0.531,0.526,0.558,0.539,0.541,0.552,0.547,0.537,0.547,0.577,0.563,0.575,0.553,0.551,0.548,0.595,0.604,0.554,0.62,0.603,0.6,0.649
BOXER,0.393,0.468,0.493,0.500,0.462,0.483,0.46,0.516,0.537,0.497,0.513,0.482,0.539,0.544,0.549,0.489,0.516,0.579,0.563,0.552,0.569,0.561,0.546,0.549,0.564,0.559,0.567,0.559,0.557,0.555,0.561,0.548,0.567,0.538,0.594,0.573,0.625,0.583,0.565,0.638
Zangief,0.454,0.45,0.472,0.538,0.500,0.464,0.402,0.49,0.401,0.483,0.501,0.475,0.422,0.462,0.516,0.552,0.584,0.455,0.475,0.447,0.499,0.493,0.539,0.559,0.542,0.509,0.549,0.544,0.554,0.579,0.546,0.556,0.548,0.619,0.594,0.597,0.483,0.617,0.645,0.614
Blanka,0.375,0.463,0.501,0.517,0.536,0.500,0.468,0.499,0.524,0.499,0.487,0.515,0.527,0.505,0.518,0.529,0.502,0.575,0.534,0.549,0.526,0.499,0.532,0.527,0.554,0.559,0.539,0.552,0.548,0.568,0.543,0.563,0.567,0.568,0.575,0.556,0.618,0.597,0.573,0.605
Abigail,0.506,0.446,0.448,0.54,0.598,0.532,0.500,0.485,0.514,0.511,0.473,0.55,0.515,0.549,0.506,0.507,0.53,0.545,0.528,0.567,0.509,0.545,0.519,0.459,0.549,0.507,0.576,0.564,0.541,0.534,0.541,0.532,0.541,0.55,0.608,0.558,0.613,0.558,0.582,0.593
Cody,0.485,0.461,0.506,0.484,0.51,0.501,0.515,0.500,0.487,0.521,0.487,0.493,0.485,0.518,0.565,0.499,0.529,0.491,0.537,0.504,0.537,0.517,0.528,0.557,0.548,0.546,0.525,0.511,0.545,0.554,0.547,0.539,0.552,0.525,0.598,0.547,0.568,0.582,0.568,0.629
Falke,0.438,0.487,0.49,0.463,0.599,0.476,0.486,0.513,0.500,0.537,0.502,0.505,0.552,0.489,0.546,0.452,0.531,0.451,0.517,0.503,0.517,0.52,0.547,0.488,0.514,0.546,0.55,0.511,0.537,0.535,0.515,0.55,0.571,0.539,0.577,0.557,0.571,0.575,0.563,0.559
Alex,0.448,0.465,0.475,0.503,0.517,0.501,0.489,0.479,0.463,0.500,0.533,0.522,0.541,0.532,0.546,0.489,0.509,0.555,0.542,0.567,0.518,0.502,0.534,0.48,0.553,0.534,0.548,0.535,0.543,0.549,0.552,0.542,0.555,0.53,0.575,0.547,0.609,0.559,0.555,0.589
Guile,0.471,0.48,0.511,0.487,0.499,0.513,0.527,0.513,0.498,0.468,0.500,0.515,0.545,0.509,0.573,0.488,0.502,0.504,0.527,0.48,0.533,0.505,0.526,0.524,0.505,0.547,0.521,0.513,0.507,0.505,0.558,0.551,0.572,0.527,0.574,0.497,0.534,0.544,0.55,0.613
Birdie,0.431,0.443,0.457,0.518,0.525,0.485,0.45,0.507,0.495,0.478,0.485,0.500,0.483,0.514,0.478,0.52,0.524,0.464,0.516,0.532,0.498,0.553,0.516,0.566,0.534,0.494,0.57,0.543,0.543,0.552,0.539,0.525,0.527,0.603,0.563,0.62,0.584,0.567,0.627,0.569
Sagat,0.454,0.469,0.523,0.461,0.578,0.473,0.485,0.515,0.448,0.459,0.455,0.517,0.500,0.523,0.564,0.433,0.549,0.481,0.533,0.485,0.528,0.519,0.532,0.471,0.54,0.539,0.557,0.544,0.509,0.518,0.497,0.541,0.563,0.499,0.569,0.508,0.524,0.568,0.554,0.607
G,0.422,0.437,0.486,0.456,0.538,0.495,0.451,0.482,0.511,0.468,0.492,0.486,0.477,0.500,0.546,0.502,0.526,0.516,0.506,0.514,0.529,0.528,0.527,0.505,0.554,0.529,0.54,0.522,0.543,0.553,0.524,0.547,0.562,0.532,0.58,0.538,0.563,0.556,0.527,0.602
Ken,0.407,0.434,0.458,0.451,0.484,0.482,0.494,0.435,0.454,0.454,0.427,0.522,0.436,0.454,0.500,0.527,0.531,0.568,0.462,0.488,0.472,0.486,0.483,0.545,0.512,0.484,0.468,0.495,0.52,0.547,0.54,0.513,0.541,0.583,0.561,0.539,0.531,0.612,0.569,0.633
DICTATOR,0.448,0.487,0.489,0.511,0.448,0.471,0.493,0.501,0.548,0.511,0.512,0.48,0.567,0.498,0.473,0.500,0.484,0.475,0.547,0.556,0.531,0.545,0.529,0.509,0.551,0.537,0.573,0.528,0.534,0.539,0.54,0.534,0.516,0.558,0.536,0.582,0.631,0.545,0.578,0.553
