DICTATOR,0.500,0.527,0.547,0.489,0.543,0.495,0.539,0.538,0.487,0.557,0.514,0.561,0.498,0.541,0.562,0.56,0.553,0.537,0.516,0.578,0.563,0.583,0.588,0.601,0.573,0.619,0.656,0.61
Urien,0.473,0.500,0.469,0.49,0.507,0.535,0.529,0.522,0.52,0.511,0.554,0.548,0.52,0.52,0.544,0.553,0.537,0.534,0.574,0.54,0.565,0.55,0.572,0.565,0.567,0.58,0.584,0.603
FANG,0.453,0.531,0.500,0.473,0.52,0.524,0.518,0.503,0.485,0.55,0.526,0.54,0.551,0.539,0.533,0.526,0.553,0.528,0.524,0.554,0.587,0.547,0.53,0.592,0.563,0.586,0.552,0.617
CLAW,0.511,0.51,0.527,0.500,0.491,0.505,0.568,0.516,0.473,0.516,0.579,0.553,0.526,0.505,0.512,0.54,0.536,0.527,0.555,0.57,0.539,0.554,0.544,0.561,0.554,0.587,0.611,0.613
BOXER,0.457,0.493,0.48,0.509,0.500,0.476,0.566,0.528,0.476,0.554,0.481,0.516,0.496,0.55,0.565,0.533,0.54,0.539,0.488,0.564,0.551,0.541,0.569,0.582,0.566,0.596,0.632,0.626
Birdie,0.505,0.465,0.476,0.495,0.524,0.500,0.494,0.546,0.506,0.496,0.464,0.514,0.529,0.545,0.54,0.528,0.558,0.487,0.576,0.549,0.55,0.558,0.561,0.569,0.532,0.592,0.558,0.614
Dhalsim,0.461,0.472,0.482,0.432,0.434,0.506,0.500,0.49,0.467,0.576,0.486,0.459,0.488,0.469,0.498,0.521,0.533,0.468,0.666,0.542,0.591,0.568,0.528,0.586,0.569,0.545,0.586,0.58
Ibuki,0.462,0.478,0.497,0.484,0.472,0.454,0.51,0.500,0.513,0.537,0.486,0.506,0.511,0.538,0.509,0.519,0.541,0.512,0.508,0.554,0.539,0.519,0.526,0.542,0.55,0.548,0.577,0.574
Laura,0.513,0.48,0.515,0.527,0.524,0.494,0.533,0.487,0.500,0.522,0.504,0.517,0.526,0.54,0.502,0.491,0.51,0.549,0.472,0.579,0.532,0.506,0.548,0.515,0.522,0.532,0.579,0.583
Guile,0.443,0.489,0.45,0.484,0.446,0.504,0.424,0.463,0.478,0.500,0.558,0.473,0.492,0.519,0.476,0.526,0.468,0.522,0.527,0.531,0.537,0.548,0.512,0.552,0.557,0.505,0.562,0.582
Abigail,0.486,0.446,0.474,0.421,0.519,0.537,0.514,0.514,0.496,0.442,0.500,0.513,0.529,0.53,0.51,0.464,0.538,0.486,0.584,0.515,0.51,0.509,0.57,0.513,0.488,0.549,0.575,0.569
Alex,0.44,0.452,0.46,0.447,0.484,0.486,0.541,0.494,0.483,0.527,0.487,0.500,0.483,0.487,0.513,0.492,0.504,0.488,0.513,0.52,0.522,0.524,0.536,0.533,0.526,0.544,0.6,0.55
R.Mika,0.502,0.48,0.449,0.474,0.504,0.471,0.512,0.489,0.474,0.508,0.471,0.517,0.500,0.478,0.518,0.489,0.489,0.497,0.487,0.523,0.521,0.54,0.525,0.522,0.509,0.521,0.581,0.545
Kolin,0.459,0.48,0.461,0.495,0.45,0.455,0.531,0.462,0.46,0.481,0.47,0.513,0.522,0.500,0.51,0.487,0.516,0.517,0.486,0.533,0.516,0.503,0.55,0.522,0.527,0.527,0.585,0.563
Necalli,0.438,0.456,0.467,0.488,0.435,0.46,0.502,0.491,0.498,0.525,0.49,0.487,0.482,0.49,0.500,0.504,0.503,0.498,0.505,0.529,0.525,0.515,0.53,0.527,0.527,0.541,0.531,0.549
Edd,0.44,0.447,0.474,0.46,0.467,0.472,0.479,0.481,0.509,0.474,0.536,0.508,0.511,0.513,0.496,0.500,0.496,0.521,0.527,0.508,0.526,0.513,0.538,0.493,0.516,0.534,0.591,0.544
Karin,0.447,0.463,0.447,0.464,0.46,0.442,0.467,0.459,0.49,0.532,0.462,0.496,0.511,0.484,0.497,0.504,0.500,0.51,0.497,0.529,0.513,0.517,0.532,0.53,0.522,0.523,0.526,0.543
Rashid,0.464,0.466,0.472,0.473,0.461,0.513,0.533,0.488,0.451,0.478,0.514,0.512,0.503,0.483,0.502,0.479,0.49,0.500,0.514,0.521,0.509,0.518,0.501,0.508,0.507,0.522,0.569,0.552
Zangief,0.484,0.426,0.476,0.445,0.512,0.424,0.334,0.492,0.528,0.473,0.416,0.487,0.513,0.514,0.495,0.473,0.503,0.486,0.500,0.452,0.519,0.55,0.538,0.522,0.518,0.536,0.427,0.522
Nash,0.422,0.46,0.446,0.43,0.436,0.451,0.458,0.446,0.421,0.469,0.485,0.48,0.477,0.467,0.471,0.492,0.471,0.479,0.548,0.500,0.522,0.517,0.496,0.533,0.515,0.508,0.569,0.531
ChunLi,0.437,0.435,0.413,0.461,0.449,0.45,0.409,0.461,0.468,0.463,0.49,0.478,0.479,0.484,0.475,0.474,0.487,0.491,0.481,0.478,0.500,0.493,0.502,0.509,0.493,0.508,0.469,0.528
Akuma,0.417,0.45,0.453,0.446,0.459,0.442,0.432,0.481,0.494,0.452,0.491,0.476,0.46,0.497,0.485,0.487,0.483,0.482,0.45,0.483,0.507,0.500,0.484,0.502,0.516,0.503,0.512,0.514
Cammy,0.412,0.428,0.47,0.456,0.431,0.439,0.472,0.474,0.452,0.488,0.43,0.464,0.475,0.45,0.47,0.462,0.468,0.499,0.462,0.504,0.498,0.516,0.500,0.508,0.513,0.506,0.471,0.51
Ryu,0.399,0.435,0.408,0.439,0.418,0.431,0.414,0.458,0.485,0.448,0.487,0.467,0.478,0.478,0.473,0.507,0.47,0.492,0.478,0.467,0.491,0.498,0.492,0.500,0.518,0.489,0.491,0.521
Ken,0.427,0.433,0.437,0.446,0.434,0.468,0.431,0.45,0.478,0.443,0.512,0.474,0.491,0.473,0.473,0.484,0.478,0.493,0.482,0.485,0.507,0.484,0.487,0.482,0.500,0.506,0.507,0.518
